식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,에너지,수분,단백질,지질,회분,탄수화물,당류,총식이섬유,칼슘,철,인,칼륨,나트륨,비타민 A,레티놀,베타카로틴,티아민,리보플라빈,니아신,비타민 C,비타민 D,콜레스테롤,총포화지방산,트랜스지방산,출처코드,출처명,1회 섭취참고량,외식업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D105-016030000-0001,된장국_냉이,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501603,냉이,050160300,해당없음,00,해당없음,22,94.6,1.71,0.66,0.84,2.2,0.3,1.3,32,0.75,32,100,236,15,0,183,0.005,0.06,3.85,0,0,0,0.09,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016100000-0001,된장국_미역,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501610,미역,050161000,해당없음,00,해당없음,24,94.1,1.56,0.97,1.12,2.28,0.61,2.7,20,0.89,26,137,305,2,0,29,0.038,0.053,0,0.36,0,0,0.07,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016120000-0001,된장국_배추,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501612,배추,050161200,해당없음,00,해당없음,20,94.7,1.46,0.4,0.85,2.58,0,0.6,12,0.25,24,95,223,1,0,12,0,0.048,0.58,0,0,3.07,0.06,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016190000-0001,된장국_시금치,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501619,시금치,050161900,해당없음,00,해당없음,9,96.8,1.02,0.17,1.05,0.98,0.11,0.4,15,0.29,21,181,124,18,0,214,0.175,0.138,0.595,0.18,0,0.64,0.03,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016200000-0001,된장국_시래기,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501620,시래기,050162000,해당없음,00,해당없음,15,95.7,1.31,0.22,0.74,2.03,0,1.9,36,0.9,18,36,195,2,0,30,0.373,0.038,0.198,0,0,0.91,0.03,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016210000-0001,된장국_쑥,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501621,쑥,050162100,해당없음,00,해당없음,15,95.8,1.22,0.47,0.96,1.52,0.73,0.8,10,0.21,25,148,243,20,0,238,0.095,0.06,1.72,0.16,0,0.21,0.06,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016220000-0001,된장국_아욱,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501622,아욱,050162200,해당없음,00,해당없음,20,94.4,2.28,0.56,1.18,1.59,0.11,1.2,114,0.89,37,122,236,19,0,226,0,0.43,0,0.18,0,10.22,0.08,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016230000-0001,된장국_얼갈이배추,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501623,얼갈이배추,050162300,해당없음,00,해당없음,9,97.3,0.5,0.41,0.96,0.85,0.06,0.5,26,0.28,13,136,195,19,0,231,0,0.083,0.14,0.3,0,0,0.02,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016240000-0001,된장국_우거지,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501624,우거지,050162400,해당없음,00,해당없음,20,94.9,2.77,0.59,0.92,0.82,0.63,0.8,14,0.35,32,84,291,0,0,4,0.665,0.05,0.718,0,0,7.11,0.13,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016280000-0001,된장국_콩나물,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501628,콩나물,050162800,해당없음,00,해당없음,31,92.4,2.58,1.11,1.3,2.62,0.53,1,20,0.51,43,132,365,2,0,24,0,0.073,1.345,0,0,0,0.1,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016290000-0001,된장국_해물,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501629,해물,050162900,해당없음,00,해당없음,28,92.9,2.1,0.98,1.38,2.68,0.45,1,28,0.6,43,140,384,6,0,76,0.418,0.053,1.813,1.54,0,11.38,0.13,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016300000-0001,된장국_호박,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501630,호박,050163000,해당없음,00,해당없음,31,92.4,3.34,1.31,1.51,1.41,0.49,0.9,19,0.33,74,146,452,4,0,46,0,0.02,1.48,0,0,0,0.15,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-016310000-0001,된장국_호박잎,D,음식,1,가정식(분석 함량),05,국 및 탕류,05016,된장국,0501631,호박잎,050163100,해당없음,00,해당없음,7,98.2,0.4,0.32,0.52,0.54,0.07,0.2,8,0.23,10,34,163,12,0,139,0.143,0.011,0,0,0,0,0.02,0,3,식품의약품안전처,350,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-019050000-0001,매운탕_대구,D,음식,1,가정식(분석 함량),05,국 및 탕류,05019,매운탕,0501905,대구,050190500,해당없음,00,해당없음,22,93.9,4.49,0.4,1.05,0.19,0,0.9,51,0.17,70,104,250,3,0,36,0.085,0.038,0.21,2,0,19.2,0.15,0.01,3,식품의약품안전처,600,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-020170000-0001,무국_쇠고기,D,음식,1,가정식(분석 함량),05,국 및 탕류,05020,무국,0502017,쇠고기,050201700,해당없음,00,해당없음,15,96.3,1.33,0.64,0.67,1.1,0,0.7,6,0.11,17,103,166,0,0,0,0,0.03,0.865,0,0,3.89,0.09,0.01,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-020320000-0001,무국_홍합,D,음식,1,가정식(분석 함량),05,국 및 탕류,05020,무국,0502032,홍합,050203200,해당없음,00,해당없음,25,95.4,0.79,2.03,0.91,0.86,0.24,0.8,17,0.22,17,113,233,6,0,75,0,0.029,1.163,1.69,0,2.3,0.01,0,3,식품의약품안전처,350,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-021080000-0001,묵국_메밀묵,D,음식,1,가정식(분석 함량),05,국 및 탕류,05021,묵국,0502108,메밀묵,050210800,해당없음,00,해당없음,22,94.3,1,0.4,0.77,3.57,0.28,0.8,10,0.26,19,76,238,3,0,41,0.203,0.023,0,0,0,0,0.03,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-024000000-0001,미역국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05024,미역국,0502400,해당없음,050240000,해당없음,00,해당없음,12,97.2,0.65,0.61,0.66,0.87,0.27,0.4,19,0.27,14,81,168,5,0,59,0.023,0.038,0,0,0,0,0.05,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-024060000-0001,미역국_대합,D,음식,1,가정식(분석 함량),05,국 및 탕류,05024,미역국,0502406,대합,050240600,해당없음,00,해당없음,11,96,1.23,0.45,1.78,0.56,0.01,0.8,37,5.17,233,365,232,2,0,23,0.035,0.018,0,0.52,0,3.59,0.16,0.01,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-024150000-0001,미역국_새우,D,음식,1,가정식(분석 함량),05,국 및 탕류,05024,미역국,0502415,새우,050241500,해당없음,00,해당없음,16,96.5,1.09,0.46,0.1,1.83,0,0.7,9,0.39,23,19,5,2,0,23,0,0.005,0.223,1.05,0,11.31,0.03,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-024170000-0001,미역국_쇠고기,D,음식,1,가정식(분석 함량),05,국 및 탕류,05024,미역국,0502417,쇠고기,050241700,해당없음,00,해당없음,13,96.5,1.86,0.26,0.54,0.82,0.52,0.6,18,0.43,19,36,196,3,0,34,0,0.035,0.243,0,0,4.24,0.04,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-026170000-0001,배추국_쇠고기,D,음식,1,가정식(분석 함량),05,국 및 탕류,05026,배추국,0502617,쇠고기,050261700,해당없음,00,해당없음,16,95.7,1.84,0.41,0.87,1.14,0,0.5,14,0.21,26,84,248,1,0,6,0,0.053,0.225,0,0,5.58,0.09,0.01,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-027000000-0001,북어국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05027,북어국,0502700,해당없음,050270000,해당없음,00,해당없음,28,93.5,3.89,0.98,0.83,0.84,0.12,1.1,15,0.25,27,111,232,2,2,6,0.453,0.045,0.453,0.23,0,21.61,0.17,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-028000000-0001,사골국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05028,사골국,0502800,해당없음,050280000,해당없음,00,해당없음,55,88.9,5.56,2.42,0.32,2.81,0,0.8,4,0.52,28,46,75,2,1,9,0.018,0.038,5.23,0.07,0,19.12,0.94,0.08,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-029000000-0001,삼계탕,D,음식,1,가정식(분석 함량),05,국 및 탕류,05029,삼계탕,0502900,해당없음,050290000,해당없음,00,해당없음,101,80,10.68,4.8,0.66,3.84,0.45,1.6,14,0.43,105,156,82,8,8,0,0.452,0.083,0,0,0,48.19,1.29,0.03,3,식품의약품안전처,900,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-030000000-0001,새우탕,D,음식,1,가정식(분석 함량),05,국 및 탕류,05030,새우탕,0503000,해당없음,050300000,해당없음,00,해당없음,33,91.1,5.17,0.44,1.33,2,0.06,1.4,30,0.47,56,186,268,7,0,78,0.046,0.11,0,2.12,0,32.73,0.09,0,3,식품의약품안전처,500,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-032000000-0001,설렁탕,D,음식,1,가정식(분석 함량),05,국 및 탕류,05032,설렁탕,0503200,해당없음,050320000,해당없음,00,해당없음,24,94.7,4.26,0.58,0.13,0.36,0,1,7,0.28,17,23,22,0,0,0,0,0.03,0.102,2.51,0,6.97,0.23,0.02,3,식품의약품안전처,500,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-034000000-0001,순대국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05034,순대국,0503400,해당없음,050340000,해당없음,00,해당없음,85,79.9,2.35,1.75,1.09,14.95,0.26,2.1,15,1.31,32,65,330,11,0,128,0.21,0.023,0.205,7.57,0,9.67,0.5,0.01,3,식품의약품안전처,600,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-036000000-0001,알탕,D,음식,1,가정식(분석 함량),05,국 및 탕류,05036,알탕,0503600,해당없음,050360000,해당없음,00,해당없음,39,90.1,6.37,0.74,1.06,1.74,0,1.6,11,0.32,113,164,250,23,13,124,0.542,0.394,7.171,5.03,0.89,80.81,0.16,0.01,3,식품의약품안전처,520,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-037000000-0001,어묵국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05037,어묵국,0503700,해당없음,050370000,해당없음,00,해당없음,31,92.8,1.49,1.03,0.87,3.83,0.07,0.4,19,0.19,25,110,226,3,0,32,0.029,0.011,0.389,0,0,2.45,0.07,0,3,식품의약품안전처,350,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-040000000-0001,오징어국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05040,오징어국,0504000,해당없음,050400000,해당없음,00,해당없음,18,95.4,2.22,0.73,0.91,0.73,0.24,0.3,5,0.05,36,82,257,2,0,25,0.22,0.056,0.422,0,0,31.88,0.08,0,3,식품의약품안전처,500,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-042000000-0001,육개장,D,음식,1,가정식(분석 함량),05,국 및 탕류,05042,육개장,0504200,해당없음,050420000,해당없음,00,해당없음,30,93,3.68,0.99,0.83,1.49,0.76,1.2,17,0.56,42,121,201,2,0,28,0,0.061,9.818,0,0,10.86,0.17,0,3,식품의약품안전처,440,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-042040000-0001,육개장_닭고기,D,음식,1,가정식(분석 함량),05,국 및 탕류,05042,육개장,0504204,닭고기,050420400,해당없음,00,해당없음,20,94.7,2.74,0.42,0.76,1.41,0.57,0.7,16,0.19,40,106,167,1,1,0,0.073,0.056,1.117,0.1,0,9.55,0.15,0,3,식품의약품안전처,700,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-044000000-0001,장어탕,D,음식,1,가정식(분석 함량),05,국 및 탕류,05044,장어탕,0504400,해당없음,050440000,해당없음,00,해당없음,67,86.8,4.32,3.91,1.32,3.68,2.66,1.1,32,0.38,72,146,387,66,61,69,0.565,0.079,0.915,0.66,0,33.75,0.63,0.02,3,식품의약품안전처,800,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-045000000-0001,재첩국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05045,재첩국,0504500,해당없음,050450000,해당없음,00,해당없음,23,94,0.67,0.29,0.47,4.54,0,0.1,20,0.72,6,22,126,1,0,13,0,0.034,0,0.18,0,4.27,0.01,0,3,식품의약품안전처,350,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-047000000-0001,조개국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05047,조개국,0504700,해당없음,050470000,해당없음,00,해당없음,16,96.3,1.67,0.89,0.91,0.25,0.18,0.6,7,1.3,24,43,297,1,0,10,0.378,0.045,0.12,3.19,0,4.01,0.05,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-050000000-0001,콩나물국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05050,콩나물국,0505000,해당없음,050500000,해당없음,00,해당없음,6,97.9,0.74,0.09,0.69,0.61,0.16,0.4,9,0.08,12,37,219,1,0,12,0,0.023,0.045,0.22,0,0.73,0.03,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-052000000-0001,토란국,D,음식,1,가정식(분석 함량),05,국 및 탕류,05052,토란국,0505200,해당없음,050520000,해당없음,00,해당없음,16,95.6,1,0.12,0.71,2.61,0.27,0.1,8,0.08,16,109,190,0,0,3,0.023,0.018,0.46,0.35,0,1.12,0.04,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-054140000-0001,해장국_뼈다귀,D,음식,1,가정식(분석 함량),05,국 및 탕류,05054,해장국,0505414,뼈다귀,050541400,해당없음,00,해당없음,26,93.7,3.19,0.97,1.04,1.06,0.63,0.3,10,2.03,29,78,346,3,0,31,0.116,0.056,2.051,0.17,0,9.45,0.21,0,3,식품의약품안전처,800,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D105-054160000-0001,해장국_선지,D,음식,1,가정식(분석 함량),05,국 및 탕류,05054,해장국,0505416,선지,050541600,해당없음,00,해당없음,29,93,3.86,0.96,0.99,1.23,0,0.4,23,6.83,13,30,312,15,1,176,0.287,0.082,0.938,2.48,0,29.05,0.13,0,3,식품의약품안전처,600,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-001000000-0001,갈치찌개,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06001,갈치찌개,0600100,해당없음,060010000,해당없음,00,해당없음,38,91,5.27,1,0.75,1.95,0.98,0.8,10,0.23,61,177,91,11,2,104,0,0.06,0.048,2.52,0,15.04,0.3,0,3,식품의약품안전처,250,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-002000000-0001,감자탕,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06002,감자탕,0600200,해당없음,060020000,해당없음,00,해당없음,71,86.2,6.31,4.06,1.18,2.27,0,2.4,38,1.06,43,98,328,33,1,381,0.164,0.009,7.585,2.35,0,38.53,1.16,0.01,3,식품의약품안전처,530,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-005000000-0001,김치전골,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06005,김치전골,0600500,해당없음,060050000,해당없음,00,해당없음,73,85.5,3.12,4.23,1.47,5.68,0.79,1.6,21,0.65,51,202,299,5,0,57,0.515,0.189,0,0.33,0,7.43,0.67,0.01,3,식품의약품안전처,270,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-006030000-0001,김치찌개_꽁치,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06006,김치찌개,0600603,꽁치,060060300,해당없음,00,해당없음,89,83,7.14,5.18,1.19,3.54,0.7,2.6,50,0.46,96,227,249,19,6,150,0.1,0.133,0,0,1.61,24.25,0.93,0.72,3,식품의약품안전처,270,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-006060000-0001,김치찌개_돼지고기,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06006,김치찌개,0600606,돼지고기,060060600,해당없음,00,해당없음,45,91.1,4.25,2.71,0.96,1.04,0.05,1.5,12,0.49,59,149,207,2,0,21,0.12,2.355,0,0,0,7.11,0.48,0.01,3,식품의약품안전처,200,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-006140000-0001,김치찌개_어묵,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06006,김치찌개,0600614,어묵,060061400,해당없음,00,해당없음,38,90.1,1.82,0.59,1.17,6.31,1.6,1.3,20,0.25,27,153,256,11,0,127,0,0.023,0,0.02,0,2.51,0.15,0,3,식품의약품안전처,260,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-006160000-0001,김치찌개_참치,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06006,김치찌개,0600616,참치,060061600,해당없음,00,해당없음,51,89.4,3.59,2.82,1.32,2.9,0.15,1.6,17,0.39,54,219,264,5,0,55,0,0.137,1.493,0.89,0,6.54,0.26,0.03,3,식품의약품안전처,300,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-006190000-0001,김치찌개_햄,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06006,김치찌개,0600619,햄,060061900,해당없음,00,해당없음,31,92.5,1.47,1.39,1.49,3.17,0.04,1,12,0.08,33,105,445,2,0,30,0,0.057,0.153,1.05,0,4.39,0.45,0.01,3,식품의약품안전처,300,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-008000000-0001,꽃게탕,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06008,꽃게탕,0600800,해당없음,060080000,해당없음,00,해당없음,17,95.5,1.86,0.41,0.81,1.44,0.95,0.8,23,0.44,25,99,273,1,0,14,0.055,0.045,5.883,4.56,0,2.61,0.04,0,3,식품의약품안전처,600,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-009000000-0001,낙지전골,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06009,낙지전골,0600900,해당없음,060090000,해당없음,00,해당없음,51,87,6.5,1.14,1.64,3.72,0,1.5,10,0.65,68,165,484,4,0,52,0,0.067,9.303,0.85,0,51.44,0.33,0.02,3,식품의약품안전처,300,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-010000000-0001,동태국,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06010,동태국,0601000,해당없음,060100000,해당없음,00,해당없음,17,95.2,2.42,0.16,0.84,1.4,0,1,15,0.14,42,107,224,1,0,14,0,0.03,1.535,0.44,0,11.46,0.02,0,3,식품의약품안전처,400,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-011000000-0001,동태찌개,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06011,동태찌개,0601100,해당없음,060110000,해당없음,00,해당없음,44,89.6,6.11,1.37,1.24,1.72,0.13,1.8,33,0.46,87,174,273,3,0,35,0.165,1.915,0.88,0,0,26.68,0.2,0.01,3,식품의약품안전처,200,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-012000000-0001,돼지고기찌개,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06012,돼지고기찌개,0601200,해당없음,060120000,해당없음,00,해당없음,48,88.9,6.25,1.51,1.1,2.26,0.13,1.3,16,0.43,56,156,255,3,0,33,0.077,0.057,0,0,0,10.95,0.21,0,3,식품의약품안전처,300,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-013000000-0001,된장찌개,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06013,된장찌개,0601300,해당없음,060130000,해당없음,00,해당없음,46,89.3,3.38,1.63,1.28,4.44,0,1.6,21,0.7,55,151,318,5,0,60,0.49,0.03,0,0,0,0,0.27,0,3,식품의약품안전처,200,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D124-023060000-0001,절편_쑥,D,음식,1,가정식(분석 함량),24,"곡류, 서류 제품",24023,절편,2402306,쑥,240230600,해당없음,00,해당없음,192,54.3,7.72,2.42,0.69,34.87,0.25,2,27,0.43,34,39,192,4,0,43,0,0.03,0,0,0,0,0.24,0,3,식품의약품안전처,100,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
D106-013040000-0001,된장찌개_냉이,D,음식,1,가정식(분석 함량),06,찌개 및 전골류,06013,된장찌개,0601304,냉이,060130400,해당없음,00,해당없음,19,94.9,1.17,0.31,0.67,2.91,0.55,1.3,28,0.79,25,110,174,11,0,136,0.006,0.057,3.726,0,0,0,0.04,0,3,식품의약품안전처,350,해당없음,1,분석,2020-03-31,2022-06-28,1471000,식품의약품안전처
