식품대분류명,식품명,대표식품명,식품중분류명,식품소분류명,식품세분류명,제목,재료,레시피
국 및 탕류,무국_쇠고기,무국,쇠고기,해당없음,해당없음,in,"Beef, radish, tofu, cheongyang pepper, green onion, anchovy kelp stock, minced garlic, soy sauce, red pepper powder, salt",in
국 및 탕류,무국_오징어,무국,오징어,해당없음,해당없음,Squid radish soup ☆ When you think of a refreshing soup!,"Squid, radish, tofu, cheongyang pepper, green onion, anchovy kelp stock, minced garlic, soy sauce, red pepper powder, salt","Trim the squid and cut into bite-size pieces. Slice the radish and prepare the tofu by slicing it into bite-sized pieces, and slicing the green onion and cheongyang pepper diagonally. Pour the broth into a pot, add radish, red pepper powder, soy sauce, and minced garlic and boil until the radish is cooked. When the radish is cooked, add squid, tofu, cheongyang pepper, and green onion. Add enough seasoning with salt and pepper to finish."
국 및 탕류,묵국_메밀묵,묵국,메밀묵,해당없음,해당없음,Haejangguk style!? Kimchi Fish Cake Soup,"Kimchi, 2 handfuls of bean sprouts (150g), fish cake, onion, green onion, cheongyang pepper, tsuyu, kimchi soup 1C (200ml), water 3C (600ml)","Make the ingredients for the soup in a pot. [Soup ingredients] 3T of soy sauce, 1C (200ml) of kimchi broth, 3C (600ml) of water. Put the kimchi cut into bite-size pots and boil over medium heat for 5 minutes. Boil for 5 minutes. 2 handfuls (150g) of bean sprouts, 2C fish cakes, 1/2 onion, add diagonally sliced ​​green onion and cheongyang red pepper, boil for 2 more minutes, then season with salt to finish. 15cm green onion, 1 cheongyang pepper, salt slightly"
국 및 탕류,미역국_쇠고기,미역국,쇠고기,해당없음,해당없음,Homebap teacher Baek makes seaweed soup and it tastes like this! Beef Seaweed Soup,"Seaweed, Beef for Bulgogi, Sesame Oil, Soy Sauce, Minced Garlic, Salt, Water 7C (1400ml)","Soak seaweed in cold water for about 10 minutes. Prepare the soaked seaweed by cutting it into small pieces. Heat 3T sesame oil in a 1/2C pot of seaweed and fry the meat. Bulgogi Beef 200g Pot When the meat is cooked to some extent, fry the cut seaweed. Stir-fry the meat and seaweed, then add 3T soy sauce and stir-fry more. When the ingredients are all fried, add 7 cups of water, 1/2T minced garlic, and check the seasoning. Boil it for a bit and it's done. Tip ? Seaweed soup tastes better when boiled once and then boiled again after cooling."
국 및 탕류,배추국_쇠고기,배추국,쇠고기,해당없음,해당없음,in,in,in
국 및 탕류,북어국,북어국,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,사골국,사골국,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,삼계탕,삼계탕,해당없음,해당없음,해당없음,Food to beat the heat! Nourishment Nutrition Samgyetang,"Chicken for Samgyetang, glutinous rice, garlic, jujube, ginseng, herbal tea bag, water, green onion, Cheongju, salt, chestnut, ginkgo","Wash and soak glutinous rice in water for about 30 minutes to prepare 1 cup of glutinous rice Wash the chicken thoroughly and remove the tail and fat. 1 Chicken for Samgyetang Put the chicken in boiling water, add 2T of sake, boil it for a bit and wash in clean water. Prepare.Remove the smell of chicken. Put half a root of ginseng, 2 jujubes, and 3 garlic in the stomach of the chicken and twist the legs and tie them with silk thread. Add glutinous rice soaked in sambaecheon, 6 chestnuts, and 5 ginkgo grains, wrap well and tie with silk thread. Put 1l of water in a pot, add chicken, herbal tea bags, 5 ginkgo biloba, 2 jujubes, half ginseng, and 3 cloves of garlic, then add 1l of water and boil over high heat for 20 minutes. Close the lid and simmer over high heat for about 30 minutes. Put the cooked chicken in a pot on high heat, add green onions and salt to your liking, and put the sticky rice in the air. 5cm green onion, a little bit of salt"
국 및 탕류,새우탕,새우탕,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,설렁탕,설렁탕,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,순대국,순대국,해당없음,해당없음,해당없음,Ramen Rebellion! Hot Sari Gomtang Sundae Soup Rice,"Gomtang-flavored ramen with sari, 1 handful of bean sprouts (100g), sundae and offal, sun onion, sun cheongyang pepper, rice, , leek, , red pepper powder, soy sauce, fish sauce, minced garlic, , minced garlic, pepper powder, perilla powder","[Dadaegi] 2 tablespoons red pepper powder, 1/2 tablespoon soy sauce, 1/2 tablespoon fish sauce, 1/2 tablespoon minced garlic. Add soup and boil. 1 bag of gomtang-flavored ramen with sari. When it boils, add bean sprouts and ramen and boil. 1 handful of bean sprouts (100g) When noodles start to come loose, add sundae, intestines, minced garlic, and pepper and boil for a while. Yo. Adjust the lack of seasoning with sundae, 1 handful of intestines, 1/3 tbsp minced garlic, and a little pepper powder. If omitted, taste and season with salt to finish. Top with ttukbaegi green onion, green onion, cheongyang pepper, and leek to your liking, and roll up the rice to finish."
국 및 탕류,알탕,알탕,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,어묵국,어묵국,해당없음,해당없음,해당없음,Haejangguk style!? Kimchi Fish Cake Soup,"Kimchi, 2 handfuls of bean sprouts (150g), fish cake, onion, green onion, cheongyang pepper, tsuyu, kimchi soup 1C (200ml), water 3C (600ml)","Make the ingredients for the soup in a pot. [Soup ingredients] 3T of soy sauce, 1C (200ml) of kimchi broth, 3C (600ml) of water. Put the kimchi cut into bite-size pots and boil over medium heat for 5 minutes. Boil for 5 minutes. 2 handfuls (150g) of bean sprouts, 2C fish cakes, 1/2 onion, add diagonally sliced ​​green onion and cheongyang red pepper, boil for 2 more minutes, then season with salt to finish. 15cm green onion, 1 cheongyang pepper, salt slightly"
국 및 탕류,오징어국,오징어국,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,육개장,육개장,해당없음,해당없음,해당없음,Really simple and easy to cook Yukgaejang,"Soy sauce, bean sprouts (or host), soaked bracken, 1 handful oyster mushroom (100g), green onion 10cm, kelp 10cm, water, egg, cooking oil, sesame oil, red pepper powder, minced garlic, soy sauce, salt, pepper","Add 2 pieces of kelp to 1L of mineral water and soak for about 20 minutes to make kelp water. Soak the beef in cold water to drain the blood, cut the bracken into bite-size pieces with a knife, cut the oyster mushrooms one by one, cut the green onion in half, and wash and clean the host. 6 green onion 10cm, 120g bean sprouts (or host) Put 1T cooking oil, 2T sesame oil, and 3T red pepper powder in a pot and stir-fry over low heat so that the red pepper powder does not burn so that the red pepper oil comes out. Add bracken, oyster mushroom, and bean sprouts and stir-fry once more. Pour kelp water over the roasted ingredients, add 2T minced garlic, 2T soy sauce, and a little pepper. After boiling for about 30 minutes, add the remaining green onion and egg water and boil it for a bit."
국 및 탕류,장어탕,장어탕,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,재첩국,재첩국,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,조개국,조개국,해당없음,해당없음,해당없음,Cool clams to the inside ★,"Clam, water, green onion, anchovy fish sauce, cheongyang pepper, coarse salt","Cut the clams well, and cut the green onion and cheongyang pepper into pieces. Put the water in a pot and when it boils, add the clams and bring to a boil. When it boils, remove the bubbles. Reduce the heat and simmer on low heat for about 5 minutes, add fish sauce, and season with salt. Add cheongyang pepper and green onion and turn off the heat."
국 및 탕류,콩나물국,콩나물국,해당없음,해당없음,해당없음,"You don't have to go to Jeonju! Jeonju Kongnamulgukbap, a refreshing taste at home","Bean sprouts, old paper, green onion, cheongyang pepper, squid (body), ground garlic, sesame, red pepper powder, cold rice, egg, anchovy, kelp, dried shiitake mushroom, dried shrimp","When the water boils in a pot, add anchovy, kelp, dried shiitake mushrooms, and dried shrimp and boil over medium heat (about 15 minutes) [broth] 1/2 handful of anchovy, 1 kelp, 3 dried shiitake mushrooms, 1/2 handful of dried shrimp When the water boils in a medium heat pot, put the bean sprouts in the pot, close the lid and boil for 5 minutes, then drain and soak in cold water. Do not throw away the water from which the bean sprouts are boiled because it will be used for Toryeom! Blanch the trimmed squid in the broth and then cut them into small pieces. 1/3 of the squid (body) Blanch the squid in the anchovy broth to make the broth more flavorful! If you put too much squid in the anchovy stock, it will give off a fishy smell, so it is better to boil it in an appropriate amount. Put cold rice and bean sprouts in a pot, and boil the bean sprouts in water. For one serving of cold rice, boil the water in which the bean sprouts are boiled without turning off the heat until it boils. When making soup, add cold rice so that the rice does not burn easily. Add red pepper powder, minced garlic, aged paper, sesame seeds, green onion, and squid to the rice and pour the broth. 1/2T red pepper powder, 1T ground garlic, 1/4 old paper, 1/2T sesame seeds, 1/2 green onion It is good to eat according to your taste! Boil the eggs to make poached eggs and serve them. 2 eggs"
국 및 탕류,토란국,토란국,해당없음,해당없음,해당없음,in,in,in
국 및 탕류,해장국_뼈다귀,해장국,뼈다귀,해당없음,해당없음,in,in,in
국 및 탕류,해장국_선지,해장국,선지,해당없음,해당없음,in,in,in
찌개 및 전골류,갈치찌개,갈치찌개,해당없음,해당없음,해당없음,Jeju silver cuttlefish stew ☆ The spicy taste of Jeju,"Cut hair cutlet, radish, zucchini, enoki mushroom, onion, green pepper, red pepper, tofu, sagebrush, kelp stock, red pepper powder, soybean paste, minced garlic, soy sauce, sugar, salt","Cut radish and tofu into about 1cm thick. Cut the zucchini into half moons, and shred the onion and pepper. Put radish and cutlassfish in a pot. Add the seasoning ingredients and make the seasoning sauce. Put the seasoning ingredients, broth, onion, pumpkin, and tofu on top of the cutlassfish and bring to a boil. When it starts to boil, add mushrooms, mustard greens, and red pepper to finish."
찌개 및 전골류,감자탕,감자탕,해당없음,해당없음,해당없음,in,in,in
찌개 및 전골류,김치전골,김치전골,해당없음,해당없음,해당없음,in,in,in
찌개 및 전골류,김치찌개_돼지고기,김치찌개,돼지고기,해당없음,해당없음,Tonight's dinner is for you! Homemade pork kimchi stew with a rich broth flavor,"Pork neck, old paper, kimchi soup, rice water, shredded onion, diagonally sliced ​​green onion, diagonally sliced ​​cheongyang pepper, thickly sliced ​​tofu, perilla oil, sugar, soybean paste, soy sauce, red pepper powder, minced garlic","Heat perilla oil in a pan heated over medium heat, add pork, old paper, and sugar, and stir-fry. 2 tablespoons of perilla oil, 200g of pork neck, 1/4 cup of old paper, 1/2 tablespoon of sugar, medium heat in a pan Pour rice water and kimchi soup and bring to a boil. When it rises, reduce the heat to medium and simmer for 15 minutes. Add 1 cup of kimchi soup, 2 cups of rice water, and add chopped onion, soybean paste, soy sauce, and red pepper powder and boil for 10 minutes. 1/2 onion, 1/2 tablespoon of soybean paste , 1 Tbsp Soy Sauce, 2 Tbsp Red Pepper Powder Add minced garlic, top with green onion, red pepper and tofu, and boil for 5 more minutes. 1 Tbsp minced garlic, 1 obliquely sliced ​​Cheongyang pepper, 1/2 thick tofu sliced ​​flat"
찌개 및 전골류,김치찌개_참치,김치찌개,참치,해당없음,해당없음,A bowl of rice! A bottle of alcohol!♥Tuna Kimchi Stew,"Kimchi, canned tuna 1 can (250g), tofu 1/2 cap (150g), green onion, cooking oil, minced garlic, water, kimchi broth, pepper","Cut the kimchi and tofu into bite-size pieces, cut the green onion diagonally, and drain the tuna. Heat a little oil in a pot, add kimchi and stir-fry it. Pour water and kimchi broth and boil over high heat. When it boils, add tuna and boil over medium heat for 15-20 minutes. Add minced garlic and pepper, add tofu and green onion, and boil for 5 more minutes."
찌개 및 전골류,꽃게탕,꽃게탕,해당없음,해당없음,해당없음,"Warm crab soup in autumn, the crab season","Blue crab, radish, onion, green onion 10cm, oyster mushroom 1/2 handful (70g), cheongyang pepper, kelp (5x5cm), anchovy, water, soybean paste, red pepper paste, red pepper powder, garlic, cooking wine","Put the broth ingredients in 1L of water in a pot and boil for about 10 minutes, then take out the kelp and anchovy. , 1/2 onion and seasoning ingredients. Seasoning ingredients: 2T soybean paste, 1T red pepper paste, 1T red pepper powder, 1T garlic. , cheongyang pepper and boil for about 1 minute more. 2 green onion 10cm, 1/2 handful (70g) oyster mushroom, 1 cheongyang pepper"
찌개 및 전골류,낙지전골,낙지전골,해당없음,해당없음,해당없음,in,in,in
찌개 및 전골류,동태국,동태국,해당없음,해당없음,해당없음,in,in,in
찌개 및 전골류,동태찌개,동태찌개,해당없음,해당없음,해당없음,in,in,in
찌개 및 전골류,돼지고기찌개,돼지고기찌개,해당없음,해당없음,해당없음,in,in,in
찌개 및 전골류,된장찌개,된장찌개,해당없음,해당없음,해당없음,Doenjang Stew with Posil Posil Seasonal Potatoes,"Potato, onion, zucchini, shiitake mushroom, tofu, green onion, cheongyang pepper, red pepper, anchovy for soup, 1 kelp (10X10cm), green onion root (optional), shiitake mushroom, water, soybean paste, minced garlic, red pepper powder","Put the broth ingredients in a pot (pot) and when it boils over medium heat, remove the kelp and simmer over low heat for another 10 minutes. , shiitake mushroom, bottom of 4 cups of water medium heat - low heat Cut vegetables and tofu into bite-sized pieces, remove the broth and boil over medium heat with potatoes. When 2 potatoes boil over medium heat, add zucchini and onion and boil. 1 onion, 1/3 zucchini When it boils again, remove the soybean paste, add tofu, mushrooms, green onion, red pepper, minced garlic, and red pepper powder, and boil for a bit. 3 tablespoons of soybean paste, 1/2 tofu, 3 shiitake mushrooms, 10cm , 1 Cheongyang pepper, 1 red pepper, 1 Tbsp minced garlic, 1/2 Tbsp red pepper powder"
"곡류, 서류 제품",절편_쑥,절편,쑥,해당없음,해당없음,in,in,in
찌개 및 전골류,된장찌개_냉이,된장찌개,냉이,해당없음,해당없음,Full of spring scent~ Cold soybean paste stew,"1 handful of wasabi (100g), 1 tofu (300g), onion, zucchini, green onion, anchovy kelp stock, soybean paste, soy sauce, red pepper powder, minced garlic, cheongyang pepper","Prepare the wasabi by trimming it and slicing it to prepare it. 1 handful (100g) of wasabi. Cut the zucchini in half moons, slice the green onion diagonally, and cut the onion and tofu into dices. 1 tofu (300g), 1/2 onion, 1/2 zucchini 1/ Put the broth in a pot with 4 leeks, 10cm green onion, and add soybean paste. 600ml of anchovy kelp stock, 2T soybean paste Add zucchini and onion to the broth and boil. Season with soy sauce, red pepper powder, and minced garlic, and then add chopped horseradish. Add 1T soy sauce, 1T red pepper powder, 1T minced garlic, boil it for a bit, then add green onion and cheongyang red pepper to finish. 1 Cheongyang pepper"
찌개 및 전골류,된장찌개_달래,된장찌개,달래,해당없음,해당없음,When you remember the taste of your nostalgic hand ♥ Soothing soybean paste stew,"Soothe, zucchini, tofu, onion, green onion, cheongyang pepper, water, anchovy, kelp 5cm (2 pieces), soybean paste, red pepper powder, minced garlic","Cut the sweet potato, zucchini, onion, and tofu into bite-size pieces, and cut the green onion and cheongyang pepper into pieces. Put anchovy and kelp in a pot and boil 500ml of water for about 10 minutes, then drain. Dissolve soybean paste in the broth, add onion and zucchini, and simmer for a while. Add tofu, red pepper powder, cheongyang pepper, minced garlic, and green onion and boil for a little more. Add dalrae and cook for 1 minute more."
찌개 및 전골류,두부찌개_고추장,두부찌개,고추장,해당없음,해당없음,Thousands of recipes from Chef Choi Momm's sizzling squishy clams and sundubu stew ♥,"1 bag of tofu (350g), 1 bag of clams (200g), egg, cooking oil 1/22T, red pepper powder, minced garlic, green onion, fish sauce, salted shrimp, salt","Simply mix red pepper powder and cooking oil to make red pepper oil. Cooking oil 1+1/2T, red pepper powder 1/2T Trim the clam clam, put it in a pot and boil for 7-8 minutes. .Soon tofu 1 bag (350g) Season with 1T fish sauce (salted shrimp, salt). 1T fish sauce [Substitute ingredients] A little bit of salted shrimp, a little bit of salt Add 1/2T minced garlic and diagonally sliced ​​green onion. Add 10cm green onion and red pepper oil. . Finally, add 1 egg to finish."
찌개 및 전골류,매운탕_해물,매운탕,해물,해당없음,해당없음,Perfect as a side dish with hot sake! Uruk spicy soup☆,"Uruk, radish, water parsley, green onion (10cm), onion, cheongyang pepper, anchovy kelp stock, red pepper powder, red pepper paste, soy sauce, soy sauce, minced garlic, minced ginger, rice wine, pepper, enoki mushroom, mushroom","Cut the radish into large strips, cut the water parsley into 5cm pieces, shred the onion coarsely, cut the cheongyang red pepper, cut the green onion diagonally. 150g radish, 50g water parsley, 1/4 onion, 2 Cheongyang pepper, 2 green onion (10cm) Put the seasoning ingredients in a large bowl and mix them to ripen for a while. [Seasoning ingredients] Red pepper powder 2T, red pepper paste 1T, soy sauce 1T, dark soy sauce 2T, minced garlic 1T, minced ginger 1t, Cheongju 1T, pepper Put anchovy kelp stock in a pot. Add radish and boil for 5 minutes. 1400ml pot of anchovy kelp broth Dissolve the marinated sauce in the broth and add the prepared fish. Close the lid of 2 turkeys and boil for a little while, then add water parsley, onion, green onion, cheongyang red pepper, and mushrooms. Close the lid and add a little more. Boil 50g water parsley, 1/4 onion, 2 green onion (10cm), 2 cheongyang red pepper, 40g mushroom Open the lid and place enoki mushrooms to finish. 1/2 enoki mushrooms"
찌개 및 전골류,버섯전골,버섯전골,해당없음,해당없음,해당없음,Mushroom Hot Pot with Mr. Baek,"Mushroom mushroom, shiitake mushroom, 1 handful oyster mushroom (150g), king oyster mushroom, 1/2 enoki mushroom (100g), onion, carrot, green onion 10cm, bulgogi beef 1C (200g), water 3C (600ml), soy sauce 1/5C (40ml), soybean paste, red pepper powder, red pepper paste, minced garlic, sugar","Prepare all mushrooms by slicing them thinly. 3 oyster mushrooms, 3 shiitake mushrooms, 1 handful (150g) oyster mushrooms, 1 king oyster mushroom, 1/2 enoki mushrooms (100g) Carrots, onions, and green onions are the same size as mushrooms. Slice and prepare. 1/2 onion, 1/4 carrot, and 5 green onion 10cm Cut into bite-size pieces and put on a pan, then pour 3 cups of water. 1C (200g) Beef for Bulgogi Pan Then, add seasoning ingredients and mix well. Seasoning ingredients: 1/5cup of soy sauce, 1/2T of soybean paste, 3T of red pepper powder, 1T of red pepper paste, 1T of minced garlic, 1T of sugar Remove the meat and put it in a bowl. Put the trimmed mushrooms and vegetables in a pot, put the meat in the middle and boil it. Mix 1/5 cup of soy sauce and 2 cups of water to make a refillable broth and eat it."
찌개 및 전골류,부대찌개,부대찌개,해당없음,해당없음,해당없음,1 seat 2 class! 1 hit 2 p! Fantastic Synergy One Pot Budae Jjigae Pasta,"2 handfuls of spaghetti noodles (180g), olive oil, small sliced ​​bacon, canned ham (spam), butter, shredded onion, minced garlic, flat mushroom, 2+1/2 cups water, ramen soup, kimchi soup, milk, bake Debbins, Sliced ​​Cheddar Cheese, Parmesan Cheese, Salt, Pepper","Add salt to boiling water, add spaghetti and boil for 4 minutes. 7 cups of water, 1 tablespoon of salt, 2 handfuls of spaghetti noodles (180g) Heat olive oil in a pan over medium heat and fry bacon and ham. 1 tablespoon of olive oil, small 4 slices of bacon, 1/2 can of canned ham (spam) on medium heat Add butter, onion, minced garlic, and mushrooms and saute. 1 Tbsp butter, 1/2 shredded onion, 1 Tbsp minced garlic, 3 flat mushroom When the ingredients are cooked, pour water, add ramen soup and boil. 2+1/2 cups of water, 1 bag of ramen soup When it boils, add spaghetti, milk, and kimchi broth and boil for 3-4 minutes. 3 tablespoons of kimchi broth, milk When 1 cup of spaghetti is cooked, put it in a bowl and sprinkle with Baked Beans, Sliced ​​Cheddar Cheese and Parmesan Cheese to finish. 3Tbsp Baked Beans, 1 Sliced ​​Cheddar Cheese, Parmesan Cheese"
찌개 및 전골류,샤브샤브_버섯,샤브샤브,버섯,해당없음,해당없음,Easy shabu-shabu when guests come,"Vegetables, mushrooms, beef shabu-shabu, konjac, carrot, tofu, tteokbokki rice cake, bean sprout, vinegar, water, anchovy for broth, kelp (10x10cm), green onion, radish, soy sauce, minced garlic","Put the anchovies for broth in a pot heated over low heat and stir-fry to remove the fishy smell. Add water, kelp, green onion, and radish and boil over high heat. 7C of water, 15 anchovies for broth, 1 kelp (10x10cm), 1 green onion, 100g radish When the pot boils, reduce the heat to medium and simmer for another 5 minutes, then remove the kelp and boil for another 10 minutes. Sift through a sieve and pour the broth into the shabu-shabu pot. Cut the konjac into 0.5cm thick slices, put a sheath in the center and twist it to form a shape, then put it in boiling water with vinegar and blanch it to get rid of the bad smell. Add soy sauce and minced garlic to a pot and boil. 2 handfuls of vegetables, 2 handfuls of mushrooms, 200g for beef shabu-shabu, 1/4 carrot, 1/2 cup of tofu, 1/2 handful of tteokbokki rice cakes, 1 handful of bean sprouts, 1T soy sauce , When the minced garlic 1/2T broth boils, reduce the heat to medium-low, add the ingredients little by little and cook with the prepared sauce."
