id,name,summary,ingre,recipe
11,[만개백과] EP. 18 가끔 생각나는 야채샐러드빵,특별한 무언가가 없는데도 생각나는 빵인데요.햄이나 맛살 같은게 있어도 좋지만 야채만으로도 완벽하답니다!오늘도 맛있게 드세요 ^^,"모닝빵, 양배추, 당근, 오이, 설탕, 식초, 소금, 마요네즈, 머스터드, 케찹","양배추, 당근은 얇게 채 썰고 오이는 얇게 어슷 썰어 준비해요.오이는 기호에 맞게 생략해도 좋아요. 볼에 양배추, 당근을 넣고 설탕, 식초, 소금을 넣어 약 10분간 재워요.소금을 너무 많이 넣으면 짤 수 있으니 조금만 넣어주세요. 물기를 제거한 양배추에 마요네즈, 머스타드를 넣어 버무려요.홀그레인 머스타드, 허니 머스타드 등을 넣어도 좋아요. 양배추를 추가해서 샐러드로 이용해도 좋아요. 모닝빵은 반을 잘라 핫도그 번처럼 만들어요. 모닝빵 안에 오이를 올리고 버무려 놓은 채소를 듬뿍 넣어 속을 채워요. 케찹을 뿌려 완성해요."
12,봄두릅으로 만드는 두릅베이컨말이,스팀으로 한 번 쪄주고!베이컨을 말아 한 번 구워주면 끝!맛있는 양념 만드는 법까지 알려드려요~,"두릅, 베이컨, 올리브유, 고추장, 식초, 다진마늘, 올리고당, 참기름, 통깨",두릅을 스팀에어프라이어에 넣고 스팀모드 100℃에서 10분 익힌다.에어프라이어 스팀으로 익힌 두릅을 베이컨으로 돌돌 만다.  스팀에어프라이어에 넣고 올리브유를 살짝 뿌린다.  에어프라이어모드 180℃에서 7~10분 굽는다. 볼에 양념재료를 모두 넣고 섞어 양념장을 만든다. 구운 두릅베이컨말이와 양념장을 곁들여 완성한다.
13,붉은 반죽으로 장미꽃을 피워~ 로즈연유브레드,장미꽃 대신 장미꽃 모양 빵!홍국쌀가루로 붉은 장미색을 내고 연유를 넣어 부드럽고 촉촉한 빵,"밀가루강력분, 홍국쌀가루, 연유, 설탕, 소금, 드라이이스트, 달걀, 무염버터, 물, 녹인버터","볼에 따뜻한 물, 이스트, 연유, 설탕, 소금, 달걀, 홍국 쌀가루를 넣고 섞은 다음 밀가루를 넣고 섞어요. 한 덩이가 되면 버터를 넣고 손으로 치대요. 반죽이 매끄러워질 때까지 10분 정도 손 반죽해요. 둥글게 만든 다음 1시간 동안 발효해요. 반죽을 15개로 분할하고 둥글게 만든 다음 10분간 발효해요. 반죽을 얇게 밀고 5개를 겹쳐놓아요. 스크래퍼를 이용해 반 자르고 돌돌 말아준 다음 장미 모양으로 다듬어요. 간격을 벌려 팬닝한 다음 랩을 씌워서 40~50분간 발효해요.  170도로 예열된 오븐에 20분간 구워요.오븐 구워져 나온 빵에 녹인 버터를 발라요.연유를 뿌려 먹으면 더 맛있어요."
14,"수박스테이크, 수박을 색다르고 재미있게 즐기는 방법","수박을 색다르고 재미있게 즐기는 방법!수박 스테이크는 어떠신가요?SSG.COM에서 11Brix 이상의 당도 선별 수박을 만나보세요.<SSG.COM 레시피공구>- 6/16~22일 단 7일간!- SSG푸드마켓 당도선별 수박 7-9kg 20% 할인 + SSG머니 최대 5,000원 적립!모이면 모일수록 커지는 공동구매 혜택공구 목표 달성 시 SSG머니 최대 5,000원 적립!https://www.ssg.com/event/eventDetail.ssg?promId=1100877386&ckwhere=recipe_foodmarket","수박, 초코시럽, 방울토마토, 파인애플, 어린잎채소","수박을 2~3cm 두께로 잘라요.  수박에 다이아몬드 모양으로 칼집을 내요. 칼집 모양을 따라 초코시럽을 뿌려요. 방울토마토, 파인애플, 어린잎채소 등으로 가니쉬처럼 장식해요."
15,된장으로 짭짤한 맛을 살린 된장비빔국수,된장으로 짭짤한 맛을 살린 된장비빔국수항상 매콤한 양념으로 비벼드셨다면된장의 구수함도 느껴보세요!,"소면, 깻잎, 통깨, 홍고추, 된장, 고추장, 간장, 물엿, 설탕, 참기름, 다진마늘","끓는물에 소면을 삶아 찬물에 헹궈 물기를 뺀다  깻잎은 돌돌 말아 채썰고 홍고추는 송송 썬다매콤하게 드시고 싶다면 청양고추를 추가해도 좋아요! 분량의 양념 재료를 섞어 된장소스를 만든다 삶은 면에 된장소스를 넣고 비빈다 깻잎채, 홍고추, 통깨를 뿌려 완성한다"
16,"구운가지를 활용한 가벼운 한끼, 구운가지토마토샐러드",집에서 쉽게 즐길 수 있는 간단 레시피구운가지를 활용한 가벼운 한끼구운가지+토마토+올리브로 만든 샐러드,"가지, 토마토, 블랙올리브, 다진마늘, 소금, 올리브유, 레몬즙, 다진마늘, 파슬리가루, 소금, 후추",분량의 소스 재료를 넣어 소스를 만들어요.  가지는 약 1cm두깨로 어슷 썰고 토마토는 8등분으로 썰어 준비해요.  토마토와 가지에 올리브 소스를 넣어 버무려요. 오븐팬에 가지런히 넣어 토마토와 가지를 구워요. (200도 로 예열된 오븐에 15~20분)오븐에어프라이어에 구워도 좋아요. 접시에 담고 블랙 올리브를 올려 완성해요.루꼴라나 어린잎 채소를 곁들여도 좋아요.
17,러스크 특유의 바삭함이 입을 즐겁게 해주는 메이플시나몬러스크,달콤하고 맛있는 간식 러스크러스크 특유의 바삭함이 입을 즐겁게 해줘요식빵으로 누구나 쉽게 만들 수 있어더욱 만들어보고 싶은 러스크!,"식빵, 버터, 설탕, 메이플시럽, 황설탕, 시나몬가루","뜨겁게 녹인버터에 설탕, 메이플시럽을 넣고 섞어요. 식빵을 길게 잘라요.  식빵에 1을 앞뒤로 발라요. 시나몬 가루와 황설탕을 섞어서 빵 위에 뿌려요. 135도로 예열된 오븐에서 50분간 구워요.오븐"
18,[칼로리컷] 이제는 안주도 가볍게! 골뱅이소면,다이어터를 위한 칼로리컷 요리!여섯번째 맥주 한잔 마시고 싶은데다이어트 안주로 딱인 골뱅이소면!이번에 준비한 칼로리컷!600칼로리 → 282칼로리 갑니다~칼로리 높은 음식은 NO!이제 만개가 칼로리를 CUT해드려요!,"골뱅이, 건조도토리묵, 양배추, 양파, 오이, 고추장, 고춧가루, 알룰로스1+1/2큰술, 식초1+1/2큰술, 다진마늘, 라이트누들","골뱅이소면 600kcal ㅡ> 282kcal 골뱅이 150g(108kcal), 건조도토리묵 30g(54kcal), 양배추 3장(15kcal), 양파 1/3개(15kcal), 오이 1/3개(4kcal), 고추장 1숟가락(30kcal), 고춧가루 1숟가락(24kcal), 알룰로스 1+1/2큰술(0kcal), 식초 1+1/2큰술(5kcal), 다진마늘 1/2숟가락(7kcal), 라이트누들 150g(20kcal) 건조 도토리묵은 끓는 물에 20분 삶는다쫄깃한 건조도토리묵을 추가해 포만감↑ 칼로리↓코첼라 루나 세라믹 인덕션겸용 냄비 골뱅이는 먹기 좋은 크기로 썰고 양배추, 양파, 오이는 얇게 썬다  골뱅이국물, 고추장, 고춧가루, 다진마늘, 식초, 알룰로스를 섞어 양념을 만든다설탕 대신 알룰로스를 사용해 칼로리↓ 그릇에 골뱅이, 도토리묵, 썬 야채를 담고 양념을 넣어 버무린다 라이트누들은 체에 밭쳐 물기를 뺀다소면 대신 병아리콩으로 만든 라이트누들로 칼로리↓ 접시에 골뱅이무침을 담고 라이트누들을 곁들여 완성한다"
19,"부모님을 생각한 한그릇, 효도라면","부모님을 생각한 한그릇낙지, 전복, 삼계탕을 넣고팔팔 끓인 효도라면!","시판삼계탕, 라면, 낙지, 전복, 한약재, 대파, 물","대파는 송송 썬다  낙지와 전복은 깨끗하게 세척 후 손질하여 준비한다 삼계탕 한팩에 물, 한방재료를 넣고 10분이상 끓인다  전복을 넣고 끓인다 전복이 익으면 라면과 스프를 넣고 끓인다 면이 익어갈때쯤 낙지와 대파를 넣고 끓여 완성한다"
20,"쫀득하고 찰져서 맛있는 브라질빵, 빵지께이주(빵데께쥬)","쫀득하고 찰져서 맛있는 브라질빵, 빵지께이주(빵데께쥬)한국에 깨찰빵이 있다면 브라질엔 빵데께쥬가 있는데요.치즈의 고소함과 타피오카전분의 쫀득함이 만나식감이 너무 좋은 디저트에요!","타피오카전분, 우유, 올리브오일, 설탕, 소금, 슈레드피자치즈, 파마산치즈가루, 달걀, 파슬리가루","냄비에 우유, 설탕, 소금, 올리브오일을 넣고 끓여요.  타피오카 전분이 담긴 볼에 끓인 1을 부어요.뜨거운 상태로 바로 부어서 익반죽 해요. 주걱으로 꼼꼼히 섞어요. 파마산치즈가루, 달걀, 파슬리가루, 슈레드피자치즈를 넣고 섞어요. 손으로 떼서 동그랗게 만든 다음 팬닝해요. 180도로 예열된 오븐에서 15분간 구워요.오븐"
21,달콤한 마시멜로우를 녹여 만든 달콤한 푸딩,마시멜로우~ 마시멜로우~ 달콤해서 너무 좋아~ 달콤한 마시멜로우를 녹여 만든 달콤한 푸딩부드럽고 달콤해 너무 좋아요,"마시멜로우, 우유, 설탕","볼에 마시멜로우, 설탕, 우유를 넣고 전자레인지에 1분~1분 30초 돌린다.전자레인지 마시멜로우를 풀어주며 잘 섞는다. 체에 한 번 거른다.거품은 제거하는 것이 좋아요. 용기에 담고 냉장고에서 3시간 이상 굳힌다."
22,"통통한 삼치와 파김치의 만남, 삼치파김치찜",살이 통통한 삼치를 파김치와 함께 쪄보세요.묵은지와 함께 먹어도 좋지만파김치와 함께 먹어도 맛있답니다.,"삼치, 파김치, 무, 양파, 홍고추, 쌀뜨물, 통깨, 고춧가루, 다진마늘, 다진생강, 참치액, 간장, 맛술, 설탕, 후추, 들기름","볼에 양념재료를 넣고 섞어요. 무는 0.5cm 폭으로 썰고 양파는 채 썰고 홍고추는 어슷썰어요. 헹켈 데피니션 칼 냄비에 무를 깔고 그 위에 파김치, 쌀뜨물, 양념을 얹은 다음 뚜껑을 덮고 5분간 끓여요.양념은 2/3만 넣고 나머지는 간을 맞추며 넣어요 삼치를 넣고 5분간 끓여요.중간에 한 번씩 열어서 삼치에 국물을 끼얹어요. 양파, 고추를 얹고 3분간 더 끓인 다음 통깨를 뿌려 완성해요."
23,얼큰하고 칼칼한 버섯칼국수,얼큰하고 시원한 버섯칼국수버섯의 쫄깃함도 느끼고시원한 국물도 즐길 수 있는 칼국수,"칼국수면, 느타리버섯, 팽이버섯, 대파, 양파, 미나리, 코인육수, 물, 고추장, 고춧가루, 된장, 간장, 다진마늘",대파는 어슷썰고 양파는 채썬다 헹켈 데피니션 칼 미나리는 적당한 크기로 썰고 버섯은 세척 후 찢어서 준비한다 양념 재료를 섞어 양념장을 만든다 냄비에 물과 양념장을 넣고 푼다  코인육수를 넣고 끓이다가 양파와 대파를 넣는다 칼국수사리를 흩뿌리듯 넣고 버섯을 넣어 끓인다 면이 거의 익으면 미나리를 올려 한소끔 끓여 완성한다
24,"쭈꾸미 삼겹살 레시피, SSG 새벽배송 하남쭈꾸미 공동구매!","하남쭈꾸미 2종 15% 할인 + SSG머니 최대 5천원 적립!사면 살수록 커지는 SSG머니 적립혜택,지금 SSG 새벽배송에서 만나보세요.> 자세히 보기http://m.earlymorning.ssg.com/event/eventDetail.ssg?promId=1100876026&ckwhere=recipe_foodmarket","하남주꾸미, 노브랜드삼겹살, 대파, 양파, 고추, 밥, 깻잎, 김가루, 모짜렐라치즈","팬에 하남쭈꾸미, 양파, 대파를 넣고 볶아요. 주꾸미 주위에 삼겹살을 올려 구워요. 주꾸미와 삼겹살을 먹으면 밥을 넣고 볶아요. 깻잎, 김가루를 넣어 볶고, 밥을 펼쳐요. 모짜렐라치즈를 올려 녹여요."
25,상큼하게 입맛을 돋우는 오이사과무침,오이를 좋아하는 분들을 위한 간단 레시피상큼하게 입맛을 돋우는 오이사과무침,"오이, 사과, 고춧가루, 멸치액젓, 매실청, 다진마늘, 통깨, 참기름",오이는 반으로 갈라 어슷썬다  사과는 채썬다  볼에 오이와 사과를 담고 양념 재료를 넣고 버무린다tip. 새콤하게 즐기고 싶다면 식초를 한스푼 넣어주세요!
26,"집에서 누구나 만들 수 있는 볶음밥, 아스파라거스베이컨볶음밥","뭔가 하기귀찮을 때집에서 누구나 만들 수 있는 볶음밥베이컨, 에그스크램블, 아스파라거스 넣고고슬고슬하게 볶은 밥에 굴소스 약간 넣어주면식당이 부럽지않은 볶음밥 완성~","아스파라거스, 마늘, 베이컨, 양송이버섯, 달걀, 밥, 올리브유, 굴소스, 맛술, 후추, 통깨","아스파라거스는 필러로 껍질을 가볍게 벗기고 송송 썰어요.  마늘과 양송이버섯은 슬라이스 하고 베이컨은 먹기 좋게 잘라요.  달걀은 스크램블해요. 올리브유를 두른 팬에 마늘 > 베이컨 > 버섯 > 아스파라거스 순으로 볶아요. 밥, 굴소스, 맛술, 후추를 넣고 볶다가 스크램블을 넣고 가볍게 볶은 다음 그릇에 담고 깨를 뿌려 완성해요."
27,"입안을 가득채우는 부드러운 마스카포네크림, 딸기마스카포네크림빵",빵 사이에 마스카포네 치즈크림이 한가득한입 베어물면 느껴지는 부드러움이입을 즐겁게 만들어줘요!,"밀가루강력분, 설탕, 드라이이스트, 소금, 우유, 생크림, 달걀, 무염버터, 딸기, 마스카포네치즈, 생크림, 설탕","반죽기에 우유, 생크림, 달걀, 이스트, 설탕, 소금, 밀가루를 넣고 저속으로 돌려요.우유와 생크림은 따뜻하게 데워요 날가루가 안 보이면 중속으로 돌리고, 한 덩이가 되면 버터를 넣고 매끈해질 때까지 돌려요.반죽기가 없으면 손으로 반죽해도 좋아요 반죽을 둥글게 만들어 볼에 담고 랩을 덮어서 반죽이 2배로 부풀때까지 발효해요. 반죽을 5개로 분할하고 무게를 맞춘 다음 둥글게 만들어 15분간 발효해요. 반죽을 핫도그 모양으로 성형한 다음 랩을 덮어 40~50분간 발효해요. 달걀물을 바르고 170도로 예열된 오븐에 15~17분동안 구워요.오븐 마스카포네치즈와 설탕을 핸드믹서로 풀어준 다음 생크림을 넣고 휘핑해요.  빵 안에 넣을 딸기는 잘게 자르고 토핑용 딸기는 반으로 잘라요. 이놀 칼집나지 않는 항균 TPU 안심 도마 빵은 반 갈라서 크림과 딸기를 채워 넣고 토핑용 딸기를 올려 마무리해요."
28,직접 만든 간장양념을 뿌린 불고기덮밥!,"언양식 불고기와 파, 양파를 얹고직접 만든 간장양념을 뿌린 덮밥!짭조름한 맛이 중독성 있어밥 한그릇 뚝딱하게 될거에요","양념불고기, 대파, 양파, 간장, 올리고당, 맛술, 물","양파는 얇게 채 썰고 대파는 송송 썰어 준비해요.  채 썬 양파와 대파는 찬물에 담가 매운맛을 빼요. 마이템 도노 버디웨어 볼 예열된 팬에 기름을 조금 두르고 양념 불고기를 넣어 익혀내요.시판 양념 불고기 사용 하시면 되요~! 도무스 도도 IH 냄비&후라이팬 세트 고기를 볶아낸 팬에 양념 재료를 넣어 살짝 졸여내요.양념 재료는 1:1:1:1의 비율로 넣어주시면 되요~! 그릇에 밥, 양파, 고기, 대파를 순서대로 넣고 양념을 한 숟가락 넣어 완성해요.기호에 따라 간장양념은 가감해 주세요."
29,라이스페이퍼로 만드는 깐쇼달걀,라이스페이퍼로 만드는 요리삶은 달걀을 라이스페이퍼로 돌돌 말아주세요맛있는 소스와 함께 볶아주면간식으로 좋은 깐쇼달걀 완성~,"삶은달걀, 라이스페이퍼, 체다치즈1+1/2장, 파슬리가루, 식용유, 간장, 식초, 케첩, 고춧가루, 설탕, 물",물에 적신 라이스페이퍼에 삶은 달걀을 올려 감싼다.  팬에 기름을 두르고 달걀을 지진다.  팬에 양념재료를 모두 넣고 살짝 끓인다.  지진 달걀을 넣고 양념을 골고루 버무린다. 체다치즈를 올리고 파슬리가루를 뿌려 완성한다.
30,자작하게 볶아 맛있는 언양식불고기,자작하게 볶아 맛있는 불고기!국물이 없이 갓 양념에서 바로 볶아간편하게 만들 수 있는 언양식 불고기,"불고기용소고기, 양파, 대파, 간장, 맛술, 설탕, 물엿, 후추, 다진마늘, 배즙","소고기는 키친타월을 이용해 핏물을 간단히 제거해요.  양파, 대파는 잘게 다져서 준비해요. 소고기는 칼로 채 썰어 준비해요. 채 썬 소고기에 준비한 채소와 분량의 양념 재료를 넣어 버무려요.배즙은 빼도 좋아요~! 예열된 팬에 기름을 조금 두르고 불고기를 자작하게 볶아 완성해요.기호에 따라 대파, 버섯 등 곁들여 드시면 더 푸짐하게 드실 수 있어요."
31,"부드럽고 달콤한 한잔, 투게더브륄레라떼",부드러운 아이스크림의 대명사 ‘투게더’투게더와 설탕을 이용해 브륄레를 만들어달콤하게 마시는 한잔,"인스턴트커피, 뜨거운물, 우유, 투게더아이스크림, 설탕, 얼음",뜨거운 물에 인스턴트 커피를 녹인다. 얼음을 담은 잔에 커피물을 붓고 우유를 잔의 2/3정도 채운다. 투게더와 우유(1숟가락)를 섞어 올린다. 설탕을 솔솔 뿌리고 토치로 그을린다.
32,색다른 브런치를 도전 하고 싶은 분들에게 추천! 동태감자오픈샌드위치,"동태살을 삶아 감자와 으깨고소한 동태감자와 바게트의 만남우유, 생크림, 오레가노까지 들어가맛도 풍부해 맛있어요!","삶은감자, 동태살, 무염버터, 생크림, 우유, 소금, 후추, 오레가노, 올리브오일, 샐러드채소, 그라나파다노, 빵","냄비에 우유, 생크림, 동태, 오레가노를 넣고 약불에서 끓여요.다른 흰 살 생선을 사용해도 좋아요ITALY 19V69 피아트 냄비 삶은 감자를 으깬 다음 1과 버터를 넣고 다시 으깨요.감자는 뜨거울 때 으깨야 쉽게 으깨져요 소금, 후추를 넣어 간을 맞춰요. 구운 빵 위에 동태감자를 올리고 올리브유를 뿌려요.  샐러드 채소를 올린 다음 그라나파다노 치즈를 갈아 올려서 완성해요."
