번호,식품명,주재료,조리법,추천태그,이미지태그,지도검색어,description,ingredient,recipe,source,original name
11,목삼겹,"돼지고기, 소금",구이,"#한식, #요리, #음식점, #저녁",#석쇠구이,삼겹살,삼겹살 부위 중에서도 목덜미살을 일컫는 말로 돼지 한 마리당 약 6kg 정도 생산됩니다.,"돼지고기목살, 된장, 커피가루, 녹차가루, 강황가루, 사과, 양파, 대파, 마늘, 생강, 파인애플, 키위, 올리고당, 진간장, 깨소금, 참기름, 후춧가루","돼지고기목살은 칼등으로 두드려 부드럽게 한다. 믹서에 곱게 간 사과, 양파, 대파, 마늘, 생강, 파인애플, 키위, 올리고당, 진간장, 깨소금, 참기름, 후춧가루를 볼에 넣고 잘 섞는다. 밀폐용기에 목살을 넣고 양념을 부어 반나절 정도 냉장 숙성시킨다. 석쇠나 팬에 양념한 목살을 올려 앞뒤로 노릇하게 굽는다.",Clova AI, 
12,백순대곱창볶음,"돼지내장, 순대, 채소류, 식용유, 소금",볶음,"#한식, #요리, #음식점, #배달, #저녁",#고기,야채곱창,순대와 곱창을 볶아 깻잎에 싸 먹는 요리입니다.,"순대, 곱창, 양배추, 양파, 깻잎, 대파, 들깨가루, 찹쌀가루, 들깻가루, 콩가루, 소금, 후추, 다진마늘, 된장, 진간장, 올리고당, 맛술, 들기름, 식용유, 참깨","순대는 찜기에 쪄서 적당한 크기로 썬다. 곱창은 밀가루와 소금을 넣고 바락바락 주물러 씻은 후 흐르는 물에 여러 번 헹궈 물기를 뺀다. 양배추, 양파, 깻잎, 대파는 굵게 채 썬다. 넓은 팬에 들기름을 두르고 순대를 넣어 볶는다. 순대가 어느 정도 익으면 양배추, 양파, 깻잎, 대파를 넣고 볶는다. 여기에 분량의 양념 재료를 넣고 섞은 후, 곱창을 넣고 함께 볶는다. 다 볶아지면 들깨가루와 후추를 뿌려 마무리한다.",Clova AI, 
13,보쌈,"돼지고기, 소금",삶기,"#한식, #요리, #음식점, #배달, #저녁",#고기,보쌈,돼지고기를 삶아 얇게 썬 고기에 김치 속을 넣어 쌈을 싸 먹는 음식입니다.,"삼겹살, 목살, 배추, 쌈채소, 쌈장, 새우젓, 김치, 무말랭이무침, 부추무침, 파채, 마늘, 고추, 쌈무, 절임배추, 생굴, 두부, 막걸리","삼겹살과 목살은 덩어리째 준비해 찬물에 담가 핏물을 뺀다. 냄비에 물, 된장, 커피, 계피, 팔각, 정향, 통후추, 감초, 당귀, 황기, 대추, 대파, 양파, 마늘, 생강, 사과, 파인애플, 인스턴트커피, 월계수잎, 통마늘, 통후추, 마른고추, 다시마를 넣고 팔팔 끓여준 후, 끓기 시작하면 삼겹살과 목살을 넣고 40분 정도 삶는다. 젓가락으로 찔러보아 핏물이 나오지 않으면 익은 것이다.",Clova AI, 
14,삼겹살,"돼지고기, 소금",구이,"#한식, #요리, #음식점, #저녁",#석쇠구이,삼겹살,삼겹살은 돼지의 갈비뼈 부분을 감싸고 있는 부위로 근육과 지방이 3중으로 겹쳐있어 육질이 부드럽고 풍미가 좋습니다.,"돼지고기(삼겹살), 양 념, 소금, 참기름","[굽기]1. 달궈진 팬에 삼겹살을 굽는다.[마무리]2. 구운 삼겹살에 소금과 참기름을 섞어 곁들여 낸다.사용조미료 : 꽃소금, 참기름",팜킷,삼겹살구이
15,삼겹살고추장구이,"돼지고기, 고추장",후라이팬구이,"#한식, #요리, #배달, #저녁",#석쇠구이,삼겹살,삼겹살을 고추장 양념에 재운 후 석쇠에 구운 요리입니다.,"돼지고기(삼겹살), 양념장, 고추장, 다진마늘, 다진생강, 설탕, 후춧가루, 소금, 참기름, 깨소금","1. 삼겹살은 물기 없는 도마 위에서 1cm 두께로 적당히 길게 썰어 놓는다.2. 삼겹살에 양념을 발라 재워 준다.[양념장 만들기]3. 고추장, 다진 마늘, 다진 생강, 설탕, 후춧가루, 소금, 참기름, 깨소금을 섞어 양념을 만든다.[굽기]4. 숯불위에 석쇠를 놓고 양념에 재워 둔 삼겹살을 올려 서서히 익힌다.사용조미료 : 고추장, 백설탕, 순후추, 꽃소금, 참기름, 볶음참깨",팜킷,삼겹살고추장구이
16,삼겹살구이,돼지고기,후라이팬구이,"#한식, #요리, #배달, #저녁",#석쇠구이,삼겹살,두툼한 삼겹살을 노릇노릇하게 구워먹는 구이 요리입니다.,"돼지고기(삼겹살), 양 념, 소금, 참기름","[굽기]1. 달궈진 팬에 삼겹살을 굽는다.[마무리]2. 구운 삼겹살에 소금과 참기름을 섞어 곁들여 낸다.사용조미료 : 꽃소금, 참기름",팜킷,삼겹살구이
17,쇠곱창구이,소내장,후라이팬구이,"#한식, #요리, #음식점, #배달, #저녁",#석쇠구이,곱창,소곱창을 초벌구이해 부추무침과 곁들여 먹는 요리입니다.,"소곱창, 감자, 통마늘, 부추, 양파, 곱창양념, 소금, 후춧가루, 청주, 곱창손질, 굵은소금(세척용), 밀가루, 부추생채, 간장, 고춧가루, 통깨, 참기름","1. 곱창은 겉의 기름을 가위로 제거하고 손으로 얇은 막을 벗긴 다음 젓가락을 이용해 뒤집는다.2. 뒤집은 곱창에 밀가루와 굵은 소금을 넣고 주물러서 찬물에 여러 번 헹군다.3. 곱창에 소금, 후춧가루, 청주를 골고루 뿌린 후 냉장실에 30분 동안 재워둔다.4. 감자는 0.6cm 두께로 썰어 물에 헹군다.5. 부추는 4cm 길이로 썰고, 양파는 얇게 채 썬다.6. 부추와 양파를 섞은 후, 부추생채 양념을 넣고 버무린다.[굽기]7. 뜨겁게 달군 팬에 곱창을 놓고 노릇하게 굽는다. 감자와 마늘도 굽는다.[담기]8. 구운 곱창을 접시에 담고 부추생채, 구운 감자와 마늘을 함께 담는다. 소금장을 곁들여 찍어먹는다.사용조미료 : 꽃소금, 순후추, 청주, 굵은소금, 양조간장, 고춧가루, 볶음참깨",팜킷,쇠곱창구이
18,숯불닭갈비,"닭고기, 고추장, 채소류",구이,"#한식, #요리, #음식점, #저녁",#석쇠구이,닭갈비,닭다리살을 먹기 좋은 크기로 잘라 고추장양념에 재운 후 숯불에 구워 먹는 닭갈비입니다.,"닭다리살, 우유, 카레가루, 허브솔트, 올리브유, 파슬리가루, 월계수잎, 레몬즙, 소주, 매운고추, 쪽파","닭다리살은 우유에 30분 정도 담갔다가 꺼내 키친타월로 물기를 제거한다. 비닐봉지에 카레가루, 허브솔트, 올리브유, 파슬리가루, 월계수잎, 레몬즙, 소주, 매운고추, 쪽파를 넣고 잘 섞는다. 닭다리살을 봉지에 넣고 냉장고에서 30분 이상 숙성시킨다. 그릴팬에 숙성시킨 닭다리살을 올리고 앞뒤로 노릇하게 굽는다. 접시에 구운 닭다리살을 담고 그 위에 잘게 썬 쪽파를 뿌린다.",Clova AI, 
19,알곱창,"돼지내장, 소금",구이,"#한식, #요리, #음식점, #배달, #저녁",#석쇠구이,막창,소곱창 안에 곱이 가득 들어있는 곱창구이에요.,"소곱창, 부추, 양파, 팽이버섯, 새송이버섯, 깻잎, 대파, 청량고추, 된장, 고추장, 고춧가루, 간장, 다진마늘, 올리고당, 설탕, 깨소금, 참기름, 후춧가루","소곱창은 밀가루와 소금을 넣고 바락바락 주물러 씻은 후 흐르는 물에 여러 번 헹궈 물기를 뺀다. 초벌로 한번 삶는다. 삶는 동안 나오는 불순물은 걷어낸다. 삶은 소곱창은 다시 한번 깨끗하게 씻고, 가위로 불필요한 부분을 잘라낸다. 전골냄비에 소곱창과 버섯, 양파, 깻잎, 대파, 청량고추를 넣는다. 된장, 고추장, 고춧가루, 간장, 다진마늘, 올리고당, 설탕, 깨소금, 참기름, 후춧가루를 섞어 만든 양념장을 붓고 끓여준다.",Clova AI, 
20,야채곱창,"돼지내장, 채소류, 고추가루, 소금",볶음,"#한식, #요리, #음식점, #배달, #저녁",#고기,야채곱창,쫄깃쫄깃한 곱창과 아삭한 야채를 매콤하게 볶아낸 곱창볶음입니다.,"돼지곱창, 양배추, 양파, 깻잎, 대파, 당면, 들깨가루, 콩가루, 찹쌀가루, 들깻가루, 고운 고춧가루, 굵은 고춧가루, 진간장, 설탕, 다진마늘, 된장, 고추장, 후춧가루, 깨소금, 참기름","돼지곱창은 밀가루와 소금을 넣고 바락바락 주물러 씻은 후 흐르는 물에 여러 번 헹궈 물기를 뺀다. 양배추, 양파, 깻잎, 대파는 굵게 채 썬다. 당면은 따뜻한 물에 불려놓는다. 깊은 팬에 곱창과 양배추, 양파, 깻잎, 대파, 당면을 넣고 양념장을 넣어 버무린다. 중간 불로 달군 팬에 양념한 곱창을 넣고 뚜껑을 덮어 익힌다. 곱창이 반쯤 익으면 들깨가루와 콩가루, 찹쌀가루를 넣고 다시 한번 볶는다.",Clova AI, 
21,오징어볶음,"오징어, 고추가루",볶음,"#한식, #요리, #배달, #저녁",#해산물,오징어," 오징어 하면 빠질 수 없는 레시피! 매콤 달달한 오징어 볶음이랍니다~ 쫄깃쫄깃 씹는 맛이 매력적인 오징어에 채소를 듬뿍 넣어 맛있게 볶아냈어요. 배는 고픈데 무엇을 먹어야 할지 고민 될 때! 입맛 확 돋아주는 오징어 볶음을 추천합니다. 밥 위에 올려 덮밥처럼 먹어도 좋아요. 반찬 필요 없이 간단하게 만들어 먹는 한 끼예요.

","오징어 (중간 사이즈)%2마리, 양파%½개, 양배추%3장, 대파%½대, 애호박%⅓개, 당근%1/5개, 풋고추%1개, 홍고추%1개, 참기름%1큰술 , 통깨%약간 , 식용유%약간 , 고추장%3큰술 , 고춧가루%2큰술 , 맛술%2큰술 , 간장%1큰술 , 굴소스%1큰술 , 설탕%1큰술 , 물엿%1큰술 , 다진 마늘%1큰술 , 생강가루%약간 , 후춧가루%약간 "," 오징어는 내장과 껍질을 제거하고 깨끗이 씻어 칼집을 넣고 한입 크기로 잘라주세요. 볼에 양념장 재료를 넣고 고루 섞어주세요. 양파와 양배추는 채를 썰고 당근과 애호박은 먹기 좋게 편으로 썰어주세요. 풋고추와 홍고추, 대파는 어슷하게 썰어주세요. 달군 팬에 약간의 식용유를 두르고 양파와 양배추, 당근을 넣어 볶다가 오징어와 애호박, 양념장을 넣은 후 센 불에서 빠르게 볶아주세요. 오징어가 익으면 마지막에 대파와 풋고추, 홍고추를 넣어 볶은 후 참기름을 넣고 마무리해주세요. 그릇에 오징어 볶음을 담고 통깨를 뿌려 맛있게 즐겨주세요. (기호에 따라 밥과 함께 덮밥으로 즐기시거나 소면을 삶아 함께 즐겨 드셔도 좋아요)",우리의 식탁,오징어 볶음
22,원조백순대,"순대, 채소류, 식용유, 소금",볶음,"#한식, #요리, #음식점, #배달, #저녁",#고기,야채곱창,담백한 맛이 일품인 신림동식 백순대볶음입니다.,"순대, 양배추, 양파, 당근, 대파, 부추, 새송이버섯, 깻잎, 들깨가루, 들기름, 소금, 후추, 식용유, 다진마늘, 들깻가루, 초고추장","순대는 찜기에 쪄서 적당한 크기로 썬다. 양배추, 양파, 당근, 대파, 부추, 새송이버섯은 가늘게 채 썬다. 깻잎은 돌돌 말아 가늘게 채 썬다. 달군 팬에 들기름을 두르고 순대를 넣어 볶는다. 순대가 어느 정도 익으면 양배추, 양파, 당근, 대파, 새송이버섯을 넣고 볶는다. 여기에 들깨가루와 소금, 후추를 넣고 볶는다.",Clova AI, 
23,육회,"소고기, 간장, 설탕",그대로,"#한식, #요리, #배달, #저녁",#고기,육회,소고기 우둔살을 얇게 저며 간장양념에 무친 요리입니다.,"소고기, 배, 잣, 소금, 마늘, 대파, 검은후추가루, 참기름, 설탕, 깨소금, A4용지","배는 설탕물에 담가 갈변을 방지하고, 소고기는 키친타올로 감싸 핏물제거하고 교차오염을 방지한다. 대파는 곱게 다지고, 마늘은 편썰고 남은 자투리는 곱게 다진다. 배는 씨를 제거하고 0.4*0.4*5cm로 맞춰 썬다.크기가 맞지 않는 것은 사용하지 않거나 완성시 밑에 깔아 사용한다. 물 1/2컵, 설탕 1큰술의 설탕물은 배를 담가 갈변을 방지한다. 소고기는 결 반대방향으로 요구사항에 맞춰 썬다. 다진 대파 1t, 다진 마늘 1/2t, 설탕 1t, 소금 1/6t, 참기름 1/3t, 깨소금 약간, 후추 약간을 넣고 소금 양념을 만들어 소고기에 양념을 한다. 제출시 핏물이 나올 수 있으므로 키친타올에 올려 제출직전에 사용한다. 키친타올에 잣을 올려 보슬보슬한 잣가루를 만든다. 설탕 물에 담가 두었던 배는 물기를 제거한다 원형 접시에 배를 돌려 담고 가운데에 편 썬 마늘을 돌려 담는다.접시 바깥쪽 3~4cm간격을 두고 일정하게 배를 돌려 담고, 마늘은 한쪽 방향으로 돌려 담아야 보기에 좋다. 육회를 얹고, 잣가루를 올려 제출한다. ",만 개의 레시피,육회
24,족발,"돼지고기, 간장",찜,"#한식, #요리, #음식점, #배달, #저녁",#고기,족발,콜라겐이 풍부한 족발을 집에서도 간편하게 즐길 수 있는 요리입니다.,"돼지족, 물(1), 소주(1), 양파, 대파, 소금, 마늘, 생강, 통후추, 삼계탕용한방재료, 된장, 커피, 소주(2), 양 념, 간장, 물엿","[끓이기]1. 돼지족을 손질한 후 찬물에 2시간 담가 핏물을 뺸다.2. 돼지족에 물과 소주(1)를 넣어 30분간 삶는다.2. 다 삶은 돼지족은 꺼내 찬물에 씻는다.3. 양파는 반으로 썰고, 대파는 6cm 길이로 썬다.4. 냄비에 돼지족, 양파, 대파, 마늘, 생강, 통후추, 삼계탕용 한방재료를 넣고 물(1)을 부은 후 된장,커피, 소주(2)를 부어 센 불에서 1시간 정도 끓인다.5. 간장과 물엿을 넣은 후 중불로 50분간 끓인다.6. 다 삶아지면 꺼내 1시간 정도 식힌다.[썰기]7. 식으면 6 × 0.3cm 크기로 썬다.사용조미료 : 꽃소금, 통후추, 된장, 진간장, 물엿",팜킷,족발
25,찜닭,"닭고기, 간장, 당면, 감자",끓이기,"#한식, #요리, #음식점, #배달, #그룹",#탕찌개,찜닭,"안동찜닭은 조선 시대 안동의 부촌인 ‘안쪽 동네’에서 닭찜을 해 먹는 것을 보고 ‘바깥 동네’ 사람들이 붙인 이름이라는 설도 있고, 안동 구시장의 통닭 골목상인들이 서양식 프라이드치킨의 인기에 위기를 느껴 변화를 시도하다 만들어 낸 음식이라는 설도 있어요. 먹기 좋게 토막 낸 닭과 양념이 잘 밴 채소, 당면까지 골고루 맛보다 보면 만족스러운 한 끼 식사가 되지요. ","닭볶음탕용 닭%1마리(600g), 감자%2개, 양파%1개, 당근%1/2개, 청양고추%2개, 홍고추%1개, 대파%1대, 양배추%1/4통, 당면%100g, 올리고당%3큰술, 참기름%1/2큰술, 통깨%약간, 우유%2컵, 물%3+1/2컵, 자른 건고추%2개, 진간장%5큰술, 다진 마늘%2큰술, 다진 생강%1/2큰술, 흑설탕%1큰술, 후춧가루%1/2작은술","1.닭은 우유에 20분간 담가 핏물을 제거해주세요. 당면은 15분간 찬물에 담가 불려주세요. 끓는 물에 닭을 30초~1분간 데치고 찬물에 헹군 후 닭의 물기를 키친타월로 제거해주세요. (tip.닭을 우유에 담궈두면 비린내를 제거할 수 있어요.) 달군 팬에 기름을 두르고 닭을 노릇하게 구워준 후 찬물에 한번 더 헹궈주세요. 감자, 당근은 2cm두께로 도톰하게 썰고 양파는 사방 3cm길이로 썰어주세요. 고추와 대파는 어슷썰어 준비해주세요. 볼에 양념 재료를 모두 넣고 섞어준 뒤 냄비에 양념과 닭, 당근, 감자, 물을 넣고 강불에서 10분간 끓여주세요. 감자가 어느 정도 익으면 양파, 양배추, 청양고추를 넣고 중불에서 10~15분간 더 끓여주세요. 양배추의 숨이 죽으면 대파, 홍고추, 불린 당면을 넣고 끓여주세요. 재료가 다 익으면 올리고당, 참기름, 통깨를 넣고 한소끔 끓여 완성해주세요.",우리의 식탁,안동찜닭
26,참치머리구이,"참치, 소금",그릴구이,"#한식, #요리, #음식점, #저녁",#생선구이,참치,참치 머리 부위를 간장양념으로 조려낸 구이입니다.,"참치머리, 양 념, 간장, 다진마늘, 설탕, 후춧가루","[양념 만들기]1. 간장, 다진 마늘, 설탕, 후춧가루를 섞어 양념을 만든다. 2. 참치머리에 양념을 바른 후 냉장고에서 1시간 동안 재운다.[굽기]3. 190℃로 예열된 오븐에서 35분간 굽는다.4. 참치머리를 뒤집어 10분간 더 굽는다.사용조미료 : 양조간장, 백설탕, 순후추",팜킷,참치머리구이
