,구분,음식명,영문,음식설명,식품명,식품대분류명
50,밥,국밥,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.,국밥_콩나물,밥류
51,면,국수,Noodle(s) ,"Made from a multigrain flour, these thin noodles are cooked in boiling water, drained, and eaten in a broth or spicy sauce.",국수_김치말이국수,면 및 만두류
52,면,국수,Noodle(s) ,"Made from a multigrain flour, these thin noodles are cooked in boiling water, drained, and eaten in a broth or spicy sauce.",국수_막국수,면 및 만두류
53,면,국수,Noodle(s) ,"Made from a multigrain flour, these thin noodles are cooked in boiling water, drained, and eaten in a broth or spicy sauce.",국수_열무김치,면 및 만두류
54,면,국수,Noodle(s) ,"Made from a multigrain flour, these thin noodles are cooked in boiling water, drained, and eaten in a broth or spicy sauce.",국수_막국수,면 및 만두류
55,면,국수,Noodle(s) ,"Made from a multigrain flour, these thin noodles are cooked in boiling water, drained, and eaten in a broth or spicy sauce.",국수_비빔국수,면 및 만두류
56,면,국수,Noodle(s) ,"Made from a multigrain flour, these thin noodles are cooked in boiling water, drained, and eaten in a broth or spicy sauce.",국수_잔치국수,면 및 만두류
57,면,국수,Noodle(s) ,"Made from a multigrain flour, these thin noodles are cooked in boiling water, drained, and eaten in a broth or spicy sauce.",국수_쟁반막국수,면 및 만두류
58,"전,적",굴전,Pan-fried Oyster ,"Fresh oysters coated in flour, dipped in egg, and pan-fried. Also called seokhwajeon.",굴전,전·적 및 부침류
59,구이,김구이,Toasted Laver ,"Dried laver sheets lightly coated with sesame oil, sprinkled with salt, then toasted on a hot pan or over a low flame.",김구이_조미김,구이류
60,생채,김무침,Seasoned Laver ,"Dried laver toasted, broken into small pieces, then seasoned.",김무침,생채·무침류
61,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_김치,밥류
62,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_샐러드,밥류
63,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_쇠고기,밥류
64,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_참치,밥류
65,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_김치,밥류
66,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_날치알,밥류
67,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_돈가스,밥류
68,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_쇠고기,밥류
69,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_참치,밥류
70,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_채소,밥류
71,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_치즈,밥류
72,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥_풋고추,밥류
73,밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices.",김밥,밥류
74,볶음,김치볶음,Sauteed Kimchi,Thinly sliced kimchi sauteed in oil. Chopped pork is often added and sauteed together with the kimchi.,김치볶음,볶음류
75,볶음,김치볶음,Sauteed Kimchi,Thinly sliced kimchi sauteed in oil. Chopped pork is often added and sauteed together with the kimchi.,김치볶음_참치,볶음류
76,볶음,김치볶음,Sauteed Kimchi,Thinly sliced kimchi sauteed in oil. Chopped pork is often added and sauteed together with the kimchi.,김치볶음_(삼삼한밥상(Ⅶ))김치양배추볶음,볶음류
77,"전,적",김치전,Kimchi Pancake,Fried pancakes made with finely chopped kimchi in a flour and egg batter.,김치전,전·적 및 부침류
78,찌개,김치찌개,Kimchi Stew,A thick stew made from kimchi simmered with various kinds of meat.,김치찌개_꽁치,찌개 및 전골류
79,찌개,김치찌개,Kimchi Stew,A thick stew made from kimchi simmered with various kinds of meat.,김치찌개_돼지고기,찌개 및 전골류
80,찌개,김치찌개,Kimchi Stew,A thick stew made from kimchi simmered with various kinds of meat.,김치찌개_어묵,찌개 및 전골류
81,찌개,김치찌개,Kimchi Stew,A thick stew made from kimchi simmered with various kinds of meat.,김치찌개_참치,찌개 및 전골류
82,찌개,김치찌개,Kimchi Stew,A thick stew made from kimchi simmered with various kinds of meat.,김치찌개_햄,찌개 및 전골류
83,찌개,김치찌개,Kimchi Stew,A thick stew made from kimchi simmered with various kinds of meat.,김치찌개,찌개 및 전골류
84,찌개,김치찌개,Kimchi Stew,A thick stew made from kimchi simmered with various kinds of meat.,김치찌개_햄,찌개 및 전골류
85,김치,깍두기,Diced Radish Kimchi,"Kimchi made of diced white radish. The radish pieces are first salted and then mixed with the traditional kimchi sauce of red chili pepper powder, fish sauce, garlic, and green onions. ",깍두기,김치류
86,죽,깨죽,Sesame Porridge,"A porridge made of sesame seeds that are fried and ground, then mixed with rice flour and simmered until thick.",깨죽,죽 및 스프류
87,"전,적",깻잎전,Pan-fried Wild Sesame Leaves with Fillings,"Wild sesame leaves folded in half with a filling of seasoned minced beef. The stuffed leaves are coated in flour, dipped in egg, and pan-fried.",깻잎전,전·적 및 부침류
88,"국,탕",꼬리곰탕,Oxtail Soup,A soup made by simmering oxtail in water for three to four hours.,꼬리곰탕,국 및 탕류
89,구이,꼬치구이,Meat and Vegetable Brochette,"Brochettes of meat and vegetables, seasoned and grilled.",꼬치구이_닭고기_대파,구이류
90,구이,꼬치구이,Meat and Vegetable Brochette,"Brochettes of meat and vegetables, seasoned and grilled.",꼬치구이_닭고기,구이류
91,조림,꽁치조림,Braised Mackerel Pike,"Mackerel pike seasoned with green onions, garlic and a mixture of other ingredients (such as red chili pepper paste or soy sauce) and simmered over low heat.",꽁치조림,조림류
92,"국,탕",꽃게탕,Blue Crab Soup,"A soup of blue crab cooked with zucchini, green chili peppers and soybean paste (doenjang).",꽃게탕,찌개 및 전골류
93,김치,나박김치,Radish Water Kimchi,"A slightly pink kimchi made with Chinese cabbage, thinly sliced white radish, a large amount of water, and minari (a leafy vegetable resembling parsley) to give this kimchi a distinctive a flavor.",나박김치,김치류
94,볶음,낙지볶음,Stir-fried Baby Octopus,"Baby octopus mixed in a seasoning of red chili pepper paste and soy sauce, then stir-fried with onions, chili peppers and green onions.",낙지볶음,볶음류
95,전골,낙지전골,Baby Octopus Hot Pot,"Seasoned baby octopus cooked in a hot pot with green onions, crown daisy, and other vegetables.",낙지전골,찌개 및 전골류
96,"국,탕",내장탕,Beef Tripe and Intestine Soup,"Soup of beef, tripe and intestines cooked over a long period.",내장탕,국 및 탕류
97,"국,탕",냉국,Chilled  Soup,"Chilled soups made with eggplant, cucumber, or seaweed. Served in the summer with rice.",냉국_미역,국 및 탕류
98,"국,탕",냉국,Chilled  Soup,"Chilled soups made with eggplant, cucumber, or seaweed. Served in the summer with rice.",냉국_미역_오이,국 및 탕류
99,면,냉면,Chilled Buckwheat Noodle Soup,"Buckwheat noodles served in a chilled beef broth with slices of beef, radish kimchi, sliced Korean pear, a boiled egg, and seasoned cucumber on top. Vinegar and mustard are added to according to individual taste. This is a favorite summer dish.",냉면_열무냉면,면 및 만두류
100,면,냉면,Chilled Buckwheat Noodle Soup,"Buckwheat noodles served in a chilled beef broth with slices of beef, radish kimchi, sliced Korean pear, a boiled egg, and seasoned cucumber on top. Vinegar and mustard are added to according to individual taste. This is a favorite summer dish.",냉면_회냉면,면 및 만두류
101,면,냉면,Chilled Buckwheat Noodle Soup,"Buckwheat noodles served in a chilled beef broth with slices of beef, radish kimchi, sliced Korean pear, a boiled egg, and seasoned cucumber on top. Vinegar and mustard are added to according to individual taste. This is a favorite summer dish.",냉면_물냉면,면 및 만두류
102,면,냉면,Chilled Buckwheat Noodle Soup,"Buckwheat noodles served in a chilled beef broth with slices of beef, radish kimchi, sliced Korean pear, a boiled egg, and seasoned cucumber on top. Vinegar and mustard are added to according to individual taste. This is a favorite summer dish.",냉면_비빔냉면,면 및 만두류
103,면,냉면,Chilled Buckwheat Noodle Soup,"Buckwheat noodles served in a chilled beef broth with slices of beef, radish kimchi, sliced Korean pear, a boiled egg, and seasoned cucumber on top. Vinegar and mustard are added to according to individual taste. This is a favorite summer dish.",냉면_회냉면_홍어,면 및 만두류
104,"전,적",녹두빈대떡,Mung Bean Pancake,"A fried pancake made of mung bean flour and a little glutinous rice flour cooked with pork, sliced kimchi, green bean sprouts, green onions and garlic.",녹두빈대떡,전·적 및 부침류
105,기타,누룽지,Browned Rice,"Crusty, browned rice made from the scorched part of steamed rice that is usually stuck to the bottom of the rice pot. lt is eaten in hot water as a browned rice tea after a meal or fried as a crispy snack. Also called nurunbap.",누룽지_뜨거운물첨가,밥류
106,구이,더덕구이,Grilled Deodeok,Deodoek root marinated in soy sauce and red chili pepper paste and then grilled.,더덕구이,구이류
107,생채,더덕무침,Spicy Deodeok,Deodeok root shredded into small pieces by hand and seasoned with a red chili pepper paste sauce.,더덕무침,생채·무침류
108,장아찌,더덕장아찌,Deodeok Pickles,A side dish of deodeok roots pickled in red chili pepper paste.,더덕장아찌,장아찌·절임류
109,"국,탕",도가니탕,Ox Knee Soup,A soup made of beef and ox knee simmered for a long time. It is served with salt and chopped green onions on the side so it can be seasoned to taste at the table.,도가니탕,국 및 탕류
110,생채,도라지생채,Bellflower Root Salad,"Fresh bellflower roots shredded into small pieces, then seasoned with red chili pepper powder, vinegar, salt, and sugar.",도라지생채,생채·무침류
111,구이,도미구이,Grilled Sea Bream,Sea bream seasoned with salt then grilled slowly over a low flame and basted frequently with sesame oil.,도미구이,구이류
112,찜,도미찜,Stuffed and Steamed Sea Bream,"Whole sea bream stuffed with clams, dubu (soybean curd / tofu), and vegetables and then steamed. The steamed fish is garnished with colorful vegetables and sliced chestnuts.",도미찜,찜류
113,김치,동치미,Radish Kimchi in Water,"A kimchi made of whole white radishes, green onions, garlic, ginger and salt water. The radishes are rolled in salt and put in a big jar with the other ingredients and salt water. After being cured, this kimchi has plenty of flavorful water which is chilled and served throughout the winter.",동치미,김치류
114,찌개,동태찌개,Frozen Pollack Stew,"A spicy stew made of pollack and vegetables. The pollack is first cooked in a clear broth, then white radish, red chili pepper powder or red chili pepper paste, garlic and green onions are added and cooked until thick.",동태찌개,찌개 및 전골류
115,찜,돼지갈비찜,Braised Spareribs,"Pork spareribs seasoned and braised in a little broth with chili peppers, chestnuts, carrots and jujubes (Korean dates).",돼지갈비찜,찜류
116,육류,돼지고기,Pork,"The main pork cuts used in Korean cuisine are the shoulder, sirloin, sides, ribs, hocks, and the rump. The different parts are prepared in different ways to take advantage of their distinct flavors and textures. Pig's head is boiled and pressed or made into a soup. Shoulder, sirloin, and rump cuts are grilled or braised. Rib cuts are braised or pressed. Hocks are pressed or used in soup.",돼지고기_머리고기,찜류
117,볶음,돼지고기볶음,Stir-fried Pork,A spicy stir-fry of pork with chopped vegetables. Also called jeyuk-bokkeum.,돼지고기볶음_김치,볶음류
118,볶음,돼지고기볶음,Stir-fried Pork,A spicy stir-fry of pork with chopped vegetables. Also called jeyuk-bokkeum.,돼지고기볶음_채소,볶음류
119,볶음,돼지고기볶음,Stir-fried Pork,A spicy stir-fry of pork with chopped vegetables. Also called jeyuk-bokkeum.,돼지고기볶음_(삼삼한밥상(Ⅶ))돈불고기 파인애플볶음,볶음류
120,볶음,돼지고기볶음,Stir-fried Pork,A spicy stir-fry of pork with chopped vegetables. Also called jeyuk-bokkeum.,돼지고기볶음,볶음류
121,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_감자,국 및 탕류
122,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_냉이,국 및 탕류
123,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_미역,국 및 탕류
124,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_배추,국 및 탕류
125,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_시금치,국 및 탕류
126,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_시래기,국 및 탕류
127,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_쑥,국 및 탕류
128,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_아욱,국 및 탕류
129,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_얼갈이배추,국 및 탕류
130,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_우거지,국 및 탕류
131,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_콩나물,국 및 탕류
132,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_해물,국 및 탕류
133,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_호박,국 및 탕류
134,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_호박잎,국 및 탕류
135,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_무,국 및 탕류
136,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_시래기,국 및 탕류
137,"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.,된장국_우렁,국 및 탕류
138,찌개,된장찌개,Soybean Paste Stew,A stew made of soybean paste (doenjang) and various vegetables. Similar to soybean paste soup (doenjangguk) but much thicker.,된장찌개,찌개 및 전골류
139,찌개,된장찌개,Soybean Paste Stew,A stew made of soybean paste (doenjang) and various vegetables. Similar to soybean paste soup (doenjangguk) but much thicker.,된장찌개_냉이,찌개 및 전골류
140,찌개,된장찌개,Soybean Paste Stew,A stew made of soybean paste (doenjang) and various vegetables. Similar to soybean paste soup (doenjangguk) but much thicker.,된장찌개_달래,찌개 및 전골류
141,찌개,된장찌개,Soybean Paste Stew,A stew made of soybean paste (doenjang) and various vegetables. Similar to soybean paste soup (doenjangguk) but much thicker.,된장찌개_두부,찌개 및 전골류
142,찌개,된장찌개,Soybean Paste Stew,A stew made of soybean paste (doenjang) and various vegetables. Similar to soybean paste soup (doenjangguk) but much thicker.,된장찌개_바지락,찌개 및 전골류
143,전골,두부전골,Stuffed Dubu Hot Pot,"Two slices of pan-fried dubu (soybean curd / tofu) stuffed with seasoned minced beef and tied with minari (Korean parsley) stems or green onions and cooked in a hot pot with vegetables, meatballs, marinated beef, and broth.",두부전골,찌개 및 전골류
144,조림,두부조림,Braised Pan-fried Dubu,A dish of pan-fried slices of dubu (soybean curd / tofu) covered with soy sauce and braised until the sauce is absorbed by the dubu.,두부조림,조림류
145,찌개,두부찌개,Dubu Stew,A stew with dubu (soybean curd / tofu) as the main ingredient.,두부찌개_고추장,찌개 및 전골류
146,찌개,두부찌개,Dubu Stew,A stew with dubu (soybean curd / tofu) as the main ingredient.,두부찌개_쇠고기_고추장,찌개 및 전골류
147,찌개,두부찌개,Dubu Stew,A stew with dubu (soybean curd / tofu) as the main ingredient.,두부찌개_쇠고기_된장,찌개 및 전골류
148,찌개,두부찌개,Dubu Stew,A stew with dubu (soybean curd / tofu) as the main ingredient.,두부찌개_새우젓,찌개 및 전골류
149,떡,떡,Rice Cake,"Rice cakes made with flour from white rice, glutinous rice, beans, and peas. They are either steamed then boiled, or steamed, then kneaded or pan-fried. Tteok is served at important feasts and celebrations and is also enjoyed as a dessert or snack.",떡_(삼삼한밥상(Ⅶ))제주도 빙떡 & 귤간장소스,"곡류, 서류 제품"
150,구이,떡갈비,Grilled Short Rib Meat Patties,"Square patties made of ground beef rib meat mixed with a seasoning of soy sauce, sugar, green onions, garlic, sesame seeds, and sesame oil, and then grilled.",떡갈비,구이류
151,구이,떡갈비,Grilled Short Rib Meat Patties,"Square patties made of ground beef rib meat mixed with a seasoning of soy sauce, sugar, green onions, garlic, sesame seeds, and sesame oil, and then grilled.",떡갈비_(삼삼한밥상(Ⅶ))퓨전떡갈비,구이류
152,"국,탕",떡국,Sliced Rice Pasta Soup,A soup of sliced ovals of rice pasta in a clear beef broth topped with slices of beef and julienned egg garnish. Served as a New Year's dish.,떡국,면 및 만두류
153, 떡국,떡만둣국,Sliced Rice Pasta Soup with Dumplings,A soup of sliced ovals of rice pasta in a clear beef broth with dumplings.,떡만둣국,면 및 만두류
154,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이,볶음류
155,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_채소,볶음류
156,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_(눈치떡)눈꽃치즈 떡볶이 대,볶음류
157,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_(눈치떡)눈꽃치즈 떡볶이 소,볶음류
158,볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular.",떡볶이_(눈치떡)매운 짜장 떡볶이 대,볶음류
