id,카테고리명,분류기준,식품명,설명,ingre,recipe
11,간식,빵류,야채샐러드빵,"It is a bread with various vegetables such as cabbage, carrot, onion, corn corn and salad mixed with mayonnaise.","Morning bread, cabbage, carrot, cucumber, sugar, vinegar, salt, mayonnaise, mustard, ketchup","Prepare cabbage and carrots by slicing thinly and thinly slicing cucumbers diagonally. You can omit cucumbers if you like. Put cabbage and carrots in a bowl, add sugar, vinegar, and salt and marinate for about 10 minutes. If you add too much salt, it can make it salty, so add a little. Add mayonnaise and mustard to the drained cabbage and mix. You can also add whole grain mustard or honey mustard. You can also add cabbage and use it as a salad. Cut morning bread in half and make it like a hot dog bun. Place the cucumber inside the morning bread and fill it with plenty of tossed vegetables. Sprinkle with ketchup to finish."
12,한식,구이류,두릅베이컨말이,It is a dish made with blanched oysters rolled in bacon and grilled.,"Turmeric, bacon, olive oil, red pepper paste, vinegar, minced garlic, oligosaccharide, sesame oil, sesame seeds",Put the oysters in the steam air fryer and cook at 100℃ in steam mode for 10 minutes. Place in a steam air fryer and drizzle with a little olive oil. Bake for 7-10 minutes in air fryer mode 180℃. Put all the seasoning ingredients in a bowl and mix to make the sauce. Served with roasted scallop bacon and seasoning sauce.
13,빵류,빵류,로즈연유브레드,It is a soft and moist bread with condensed milk cream.,"Strong wheat flour, red rice flour, condensed milk, sugar, salt, dry yeast, egg, unsalted butter, water, melted butter","In a bowl, mix warm water, yeast, condensed milk, sugar, salt, egg, and red rice flour, then add flour and mix. When it becomes a lump, add butter and knead it with your hands. Knead by hand for about 10 minutes until the dough is smooth. Form into rounds and ferment for 1 hour. Divide the dough into 15 pieces, round them, and let them rise for 10 minutes. Roll out the dough thinly and put 5 layers on top of each other. Cut it in half using a scraper, roll it up and trim it into a rose shape. After panning, cover with a gap and ferment for 40-50 minutes. Bake in an oven preheated to 170 degrees for 20 minutes. Spread melted butter on the bread that is baked in the oven."
14,양식,스테이크류,수박스테이크,Watermelon cut into steak shapes and grilled.,"Watermelon, chocolate syrup, cherry tomatoes, pineapple, young leafy vegetables","Cut the watermelon into 2-3cm thick. Cut a diamond-shaped cut into the watermelon. Pour chocolate syrup along the shape of the sheath. Decorate like a garnish with cherry tomatoes, pineapples, and young leafy vegetables."
15,한식,면류,된장비빔국수,Bibim-guksu is eaten by rubbing it in a savory soybean paste sauce.,"Somen noodles, sesame leaves, sesame seeds, red pepper, soybean paste, red pepper paste, soy sauce, starch syrup, sugar, sesame oil, minced garlic","Boil somen noodles in boiling water and rinse in cold water to drain the water. Roll the sesame leaves and cut them into shreds. Slice the red pepper. If you want it spicy, you can add Cheongyang pepper! Mix the amount of seasoning ingredients to make the soybean sauce"
16,샐러드,샐러드류,구운가지토마토샐러드,Salad with Roasted Eggplant and Tomato.,"Eggplant, tomato, black olive, minced garlic, salt, olive oil, lemon juice, minced garlic, parsley powder, salt, pepper",Make the sauce by adding the amount of sauce ingredients. Cut eggplant diagonally into about 1cm thick sesame seeds and cut tomatoes into 8 equal parts. Add the olive sauce to the tomatoes and eggplant and mix. Put them in an oven pan and bake tomatoes and eggplants. (15-20 minutes in an oven preheated to 200 degrees) You can also bake it in an oven air fryer. Serve on a plate and top with black olives to complete. Serve with arugula or young leafy greens.
17,간식,빵류,메이플시나몬러스크,Thin slices of bread or baguette are baked with butter and sugar.,"Bread, butter, sugar, maple syrup, brown sugar, cinnamon powder",Add sugar and maple syrup to the hot melted butter and mix. Cut the bread lengthwise. Spread 1 on the bread front and back. Mix cinnamon powder and brown sugar and sprinkle on the bread. Bake for 50 minutes in an oven preheated to 135 degrees. Oven
18,안주,무침류,골뱅이소면,It is a spicy side dish with golbaengi and vegetables.,"Golbenggi, dried acorn jelly, cabbage, onion, cucumber, red pepper paste, red pepper powder, allulose 1/2 tbsp, vinegar 1/2 tbsp, minced garlic, light noodle","Golbengi Somyeon 600kcal ㅡ> 282kcal Golbengi 150g (108kcal), dried acorn jelly 30g (54kcal), 3 cabbages (15kcal), 1/3 onion (15kcal), 1/3 cucumber (4kcal), 1 tablespoon of red pepper paste (30kcal) , Red pepper powder 1 tbsp (24kcal), Allulose 1+1/2 tbsp (0kcal), Vinegar 1+1/2 tbsp (5kcal), Minced garlic 1/2 tbsp (7kcal), Light noodle 150g (20kcal) Dried acorn paste Boil in boiling water for 20 minutes Add chewy dried acorn jelly for a feeling of fullness ↑ Calories ↓ Coachella Luna Ceramic induction pot Cut golbengi into bite-size pieces and thinly slice cabbage, onion, and cucumber Gobengi broth, red pepper paste, red pepper powder, minced garlic, vinegar, allul Mix Ross to make seasoning. Use allulose instead of sugar. Calorie ↓ Put golbenggi, acorn jelly, and chopped vegetables in a bowl and mix with seasoning. Light noodles are drained by sieving. Light noodles made with chickpeas instead of somen noodles. Filled with golbaengi and served with light noodles to finish."
19,분식,면류,효도라면,It is a good ramen for haejang with plenty of bean sprouts and green onions in a spicy broth.,"Samgyetang, ramen, octopus, abalone, herbal medicine, green onion, water","Cut the green onion into pieces. Clean and trim the octopus and abalone. Put water and herbal ingredients in a pack of samgyetang and boil for 10 minutes. Add the abalone and boil. When the abalone is cooked, add ramen and soup. Add and boil"
20,디저트,빵류,빵지께이주(빵데께쥬),"A typical Brazilian snack, it is characterized by a crispy outside and a chewy inside.","Tapioca starch, milk, olive oil, sugar, salt, shredded pizza cheese, parmesan cheese powder, egg, parsley powder","Put milk, sugar, salt and olive oil in a pot and bring to a boil. Pour boiled 1 in a bowl filled with tapioca starch. Pour it while it is still hot and knead it. Mix thoroughly with a spatula. Add parmesan cheese powder, egg, parsley powder, and shredded pizza cheese and mix. Take it off by hand, make it round, and then pan it. Bake for 15 minutes in an oven preheated to 180 degrees. Oven"
21,디저트,푸딩류,바나나푸딩,"It is a dessert with banana in custard cream baked with eggs, milk, sugar and vanilla bean.","Marshmallow, milk, sugar","Put the marshmallows, sugar, and milk in a bowl and microwave for 1 minute to 1 minute 30 seconds. Microwave the marshmallows and mix well. Sieve once through a sieve. It is best to remove the foam. Place in a container and harden in the refrigerator for at least 3 hours."
22,한식,찜류,삼치파김치찜,"Samchi is a fish that has a plump flesh, so it is easy to spread and has a low fishy smell, so even people who do not like fish can enjoy it.","Samchi, green onion kimchi, radish, onion, red pepper, rice water, sesame, red pepper powder, minced garlic, minced ginger, tuna liquid, soy sauce, cooking wine, sugar, pepper, perilla oil","Add the seasoning ingredients to the bowl and mix. Cut the radish into 0.5cm width, shred the onion, and slice the red pepper diagonally. Henkell Definition Knife Lay radish in a pot, put green onion kimchi, rice water, and seasoning on it, cover and boil for 5 minutes. Add only 2/3 of the seasoning and season with the rest. Add mackerel and boil for 5 minutes. Open it every now and then and pour the soup over the samchi. Add onion and red pepper, boil for 3 more minutes, and sprinkle with sesame seeds to finish."
23,한식,탕/면류,버섯칼국수,Kalguksu is made by rolling out dough and cutting it into thin slices with a knife and then boiling it in broth.,"Kalguksu noodles, oyster mushroom, enoki mushroom, green onion, onion, water parsley, coin stock, water, red pepper paste, red pepper powder, soybean paste, soy sauce, minced garlic","Slice the green onion diagonally and shred the onion Henkel Definition Knife Cut the water parsley into appropriate sizes, wash and tear the mushrooms, and prepare the sauce Mix the seasoning ingredients to make the sauce Put the water and sauce in a pot and boil it Sprinkle the sari and add mushrooms to boil. When the noodles are almost cooked, add water parsley and boil for a bit"
24,한식,볶음류,쭈꾸미 삼겹살,It is a spicy stir-fry dish of octopus and pork belly.,"Hanam Zucchini, No Brand Pork Belly, Green onion, Onion, Red Pepper, Rice, Sesame Leaves, Seaweed Powder, Mozzarella Cheese","Add Hanam zucchini, onion, and green onion to a pan and fry. Place the pork belly around the jjukkumi and grill it. If you eat octopus and pork belly, add rice and stir-fry. Add sesame leaves and seaweed powder, stir-fry, and spread the rice. Add mozzarella cheese and melt it."
25,밑반찬,무침류,오이사과무침,"Sliced ​​cucumber and apple, it is a refreshing pickle mixed with seasoning.","Cucumber, apple, red pepper powder, anchovy sauce, plum syrup, minced garlic, sesame seeds, sesame oil","Cut cucumber in half and slice diagonally. Slice apples. Put cucumber and apple in a bowl, add seasoning ingredients, and mix tip. If you want to enjoy it sour, add a spoonful of vinegar!"
26,한식,밥류,아스파라거스베이컨볶음밥,Fried rice made with bacon and asparagus.,"Asparagus, garlic, bacon, mushroom, egg, rice, olive oil, oyster sauce, cooking wine, pepper, sesame","Lightly peel the asparagus with a peeler and cut it into pieces. Slice garlic and shiitake mushrooms and cut bacon into easy-to-eat pieces. Eggs are scrambled. In a pan with olive oil, fry garlic > bacon > mushrooms > asparagus in the order. Add rice, oyster sauce, cooking wine, and pepper and stir-fry, then add scrambled eggs and lightly stir-fry, then place in a bowl and sprinkle with sesame seeds."
27,간식,빵류,딸기마스카포네크림빵,"Instead of cream cheese, mascarpone cheese is added to make it softer and more savory.","Strong flour, sugar, dry yeast, salt, milk, whipped cream, egg, unsalted butter, strawberry, mascarpone cheese, whipped cream, sugar","Put milk, whipped cream, egg, yeast, sugar, salt and flour in a kneader and turn on low speed. Heat milk and whipped cream warm. If raw flour is not visible, turn on medium speed. When it becomes a lump, add butter and turn until smooth. .If you don't have a kneader, you can knead it by hand. Make a round dough, put it in a bowl, cover it with cling wrap, and ferment until the dough has doubled in size. Divide the dough into 5 pieces, weigh them, make them round and leave them to ferment for 15 minutes. Form the dough into a hot dog shape, cover with cling wrap, and ferment for 40-50 minutes. Brush with egg water and bake in an oven preheated to 170 degrees for 15 to 17 minutes. Beat the oven mascarpone cheese and sugar with a hand mixer, then add whipped cream and whip. Chop the strawberries to put inside the bread and cut the strawberries for topping in half. Inol's anti-bacterial TPU safe cutting board bread is cut in half, filled with cream and strawberries, and finished with strawberries for topping."
28,한식,덮밥류,불고기덮밥,Thinly sliced ​​beef marinated in soy sauce and served on top of rice.,"Seasoned Bulgogi, Green onion, Onion, Soy Sauce, Oligosaccharide, Cooking Wine, Water","Thinly slice the onion and prepare the green onion. Soak the shredded onion and green onion in cold water to remove the spicy taste. Mytem Dono Buddyware Ball Put some oil in a preheated pan and cook seasoned bulgogi. You can use commercially available seasoned bulgogi~! Domus Dodo IH Pot & Frying Pan Set Put the seasoning ingredients in the frying pan and bring it to a boil. Just add the seasoning ingredients in a 1:1:1:1 ratio~! Put rice, onion, meat, and green onion in a bowl in order and add a spoonful of seasoning to complete. Add or subtract soy sauce seasoning according to your taste."
29,중식,볶음류,깐쇼달걀,Boiled eggs are mashed and fried with chili sauce.,"Boiled egg, rice paper, cheddar cheese 1/2 sheets, parsley powder, cooking oil, soy sauce, vinegar, ketchup, red pepper powder, sugar, water",Place boiled eggs on rice paper moistened with water and wrap. Heat oil in a pan and beat the eggs. Put all the seasoning ingredients in a pan and bring to a boil. Add the beaten egg and mix evenly with the seasoning. Top with cheddar cheese and sprinkle with parsley to finish.
30,한식,구이류,언양식불고기,Bulgogi is thinly sliced ​​beef marinated in soy sauce and grilled on a griddle.,"Beef for bulgogi, onion, green onion, soy sauce, cooking wine, sugar, starch syrup, pepper, minced garlic, pear juice","Remove the blood easily from the beef using a kitchen towel. Prepare the onion and green onion by finely chopping them. Prepare the beef by slicing it with a knife. Add the prepared vegetables and seasoning ingredients to the shredded beef and mix. You can also omit the pear juice~! Put a little oil in a preheated pan and stir-fry the bulgogi on your own. If you like, you can eat it with green onions, mushrooms, etc. to make it more hearty."
31,카페/음료,커피/차류,투게더브륄레라떼,A dessert drink made by sprinkling caramel syrup on vanilla ice cream and scorching it with a torch.,"Instant coffee, hot water, milk, together ice cream, sugar, ice",Dissolve instant coffee in hot water. Pour coffee water into a glass filled with ice and fill the glass about 2/3 full with milk. Mix together and milk (1 tbsp). Lightly sprinkle with sugar and burn with a torch.
32,양식,샌드위치류,동태감자오픈샌드위치,Make an open sandwich by mashing the pork loin and potatoes.,"Boiled Potatoes, Potatoes, Unsalted Butter, Fresh Cream, Milk, Salt, Pepper, Oregano, Olive Oil, Salad Vegetables, Grana Padano, Bread","Put milk, cream, dongtae and oregano in a pot and bring to a boil over low heat. You can also use other white fish. ITALY 19V69 Fiat Pot Mash the boiled potatoes, then add 1 and butter and mash again. Mash the potatoes while they are hot. It's cracked. Season with salt and pepper. Place the Dongtae potato on the toasted bread and drizzle with olive oil. Top with salad greens, then grate Grana Padano cheese to complete it."
33,양식,샌드위치류,무화과버터&잠봉뵈르,It is a sandwich made with jam and jambong (thinly sliced ​​ham) that combines the sweetness of figs with the savory taste of butter.,"Semi-dried figs, red wine, brown sugar, butter, chopped walnuts, honey, wine figs, baguette bread, jambon beur ham, gouda cheese, fig butter, salt, pepper","[Wine figs] Cut off the stem of semi-dried figs and cut into quarters. Prepare semi-dried figs by rinsing them in water. Put figs, red wine, and sugar in a pot and bring to a boil, then cool. Adjust sugar according to the sugar content of the wine. [Fig Butter] Mash the butter at room temperature and loosen it gently. Add wine figs, chopped walnuts, and honey and mix. Cut wine figs into small pieces to mix evenly. After pouring butter on the wrap, roll it up to form a shape and harden it in the refrigerator. Chop the hardened fig butter. Place fig butter > salt and pepper > ham > cheese between the baguette breads."
34,한식,비빔밥류,꼬막비빔밥,"Bibimbap is a bibimbap that is eaten with boiled cockle, only the flesh, and mixed with various vegetables.","Cockle, rice, sesame leaf, lettuce, red pepper paste, red pepper powder, soy sauce, minced garlic, sugar, sesame salt, sesame oil, chopped green onion","Dissolve 1 tablespoon of salt in cold water, then add the rinsed cockle and darken it with cooking foil. Remove it for about 20 minutes or more. It is convenient to use the released cockle. Pour water into a pot and boil the cockle, stirring it to one side. If you boil it while stirring, the cockle will lean to one side, which is good for removing the skin. Cool the boiled cockle for a while and separate the skin. Peel the cockle with a spoon without opening the mouth. Add a small amount of seasoning ingredients to the peeled cockle, and mix. If the peeled cockle is dirty, lightly rinse it with water before use. Prepare sesame leaves and lettuce by shredding them. For vegetables, you can prepare onions, carrots, water parsley, etc. according to your preference. Put rice, seasoned cockle, and vegetables in a bowl to finish."
35,한식,비빔밥류,삼겹살비빔밥,"It is bibimbap eaten by mixing lettuce, sesame leaves, radish greens, bean sprouts, carrots, red pepper paste, and sesame oil on top of rice.","Pork belly, Chinese cabbage, lettuce, sesame leaf, radish, gochujang, sesame oil, ssamjang, egg","Prepare lettuce, Chinese cabbage, and perilla leaves by shredding them. Prepare raw vegetables according to your preference. Grill the pork belly in a preheated pan and cut it into small pieces. Put the rice in a bowl and put lettuce, Chinese cabbage, sesame leaves, pork belly, and radish greens. Weimar Ceramic Tray Add red pepper paste, ssamjang, and sesame oil and top with fried eggs according to your preference. Adjust the amount and add red pepper paste and ssamjang in a 1:1 ratio."
36,일식,면류,마제소바,Japanese-style bibim noodles with minced meat and vegetables stir-fried and topped with garnish.,"Minced pork, chives, chives, minced garlic, udon noodles, seaweed powder, sancho powder, egg yolk, soy sauce, cooking wine, kelp, sugar, katsuobushi, red pepper oil, minced garlic, oyster sauce, seasoned soy sauce, tofu soy sauce 1 +1/2 tbsp, sugar, cooking wine, pepper, kelp, vinegar, sugar","[kelp vinegar] Put vinegar and sugar in a bowl, mix lightly, then add kelp. [Spicy soy sauce] Put the seasoned soy sauce ingredients in a pot and boil for a bit, then turn off the heat and add bonito flakes. Add red pepper oil, minced garlic, and minced pork to a pan and stir-fry, then add seasoning and stir-fry. Boil noodles in boiling water and rinse in cold water. Add 3 tablespoons of seasoned soy sauce and 2 tablespoons of red pepper oil to the noodles and mix, then put them in a bowl. If it is bland, add soy sauce. Add the chives, green onions, seaweed, minced garlic, pickled pepper powder, and roasted meat, and top with an egg yolk to finish. When eating, sprinkle a little kelp vinegar to give it a savory taste."
37,밑반찬,생채류,무생채,"It is a raw vegetable made by shredded radish and mixed with vinegar, sugar, red pepper powder, minced garlic and sesame seeds.","Radish, starch syrup, salt, red pepper powder, anchovy sauce, minced garlic, sugar, sesame seeds, chives","Prepare the radish by slicing it thinly. You can also use a slicing knife. Shredded radish is mixed with starch syrup and salt and marinated for about 5 minutes or more. If you add starch syrup and pickle, you can make more mushy radish. Remove the water from the pickled radish. Put the drained radish and the seasoning ingredients in a bowl to finish it. You can also add chives or green onions."
38,밑반찬,조림류,팽이버섯장조림,This is a rice thief side dish made by simmering enoki mushrooms with an attractive chewy texture.,"Enoki mushroom, onion, cheongyang pepper, soy sauce, sugar, water",Cut the bottom of the washed enoki mushrooms and tear them up to eat You can omit the cheongyang peppers according to your taste.
39,밑반찬,조림류,분홍소세지조림,Boil the nostalgic lunch box side dish pink sausage in soy sauce.,"Sausage, Cheongyang pepper, water, cooking oil, red pepper paste, oyster sauce, red pepper powder, oligosaccharide, minced garlic, sesame oil","Slice the sausage thickly and cut the cheongyang red pepper into pieces. Mix red pepper paste, oyster sauce, red pepper powder, oligosaccharide, minced garlic, and sesame oil to make the seasoning. Put cooking oil in a pan and fry the sausage on both sides. Add the seasoning and fry. Add cheongyang pepper and fry"
40,베이커리,빵류,황치즈옥수수스콘,It is a sweet and salty scones with corn flour and savory but also with yellow cheese powder.,"Flour Soft Flour, Yellow Cheese Powder, Baking Powder, Butter, Sugar, Salt, Egg, Fresh Cream, Corn Corn, Parsley Powder, Sugar Powder, Yellow Cheese Powder, Milk","Beat the eggs, add whipped cream, mix, and put in the refrigerator to keep it cool. Cujin Art Stainless Steel Kitchen Tool Set of 5 Mix together flour, yellow cheese powder, baking powder, salt and sugar. Put both the powder and cold butter in a food processor and grind until the grains are no longer visible. If you do not have a food processor, use a scraper to finely chop. Divide the mixed egg water into the dough in 2-3 batches and mix as if cutting, then add corn and mix. Leave 3 tablespoons of egg water. Knead the dough by hand, cut it, stack it up to form a layer, and then make it into a lump. Cover with cling film and rest in the refrigerator for 1 hour, then cut into 6 equal parts and pan. Apply the remaining egg water on the dough and bake in an oven preheated to 180 degrees for 17 to 20 minutes. Put the oven sugar powder and yellow cheese powder in a bowl, mix, and add milk to make a glaze. Sprinkle glaze and parsley on top of the baked scones to complete."
41,한식,볶음류,닭갈비떡볶이,This is a stir-fry dish of rice cakes and vegetables in a sweet and spicy chicken ribs sauce.,"Chicken leg meat, tteokbokki rice cake, fish cake, onion, cabbage, sesame leaf, sesame, cooking oil, red pepper paste, red pepper powder, soy sauce, sugar, oligosaccharide, minced garlic, pepper, red pepper paste, red pepper powder, sugar, soy sauce, water","Mix the amount of seasoning ingredients to make seasoning for chicken ribs Add chicken leg meat to the seasoning and marinate for more than 10 minutes Cut the onion, cabbage and fish cake into bite-size pieces and thinly slice the sesame leaf Henkel 5-star 5-piece block set (embossed style) HK30133- Mix 005 seasoning ingredients to make tteokbokki sauce Add marinated chicken leg in a pan with cooking oil and fry. When the meat is half cooked, add rice cake, onion, and cabbage and fry Top it up and sprinkle with sesame seeds to finish."
42,중식,면류,해물쟁반짜장,"Tray Jjajang made with various seafood such as squid, shrimp, and mussels stir-fried.","Chapagetti, seafood mix, onion, leek, water, red pepper oil, peas, cucumber, red pepper powder, egg","Cut the onion and chives into bite-sized pieces. Boil the chapagetti noodles and rinse in cold water. If they do not spread, cook them less so that they do not spread. Fry the seafood and onion in a pan with red pepper oil. When the onion becomes transparent, add water, jajang soup, and flakes and bring to a boil. When it dries out, add boiled noodles and chives and fry"
43,한식,국/탕/찌개,참치액젓미역국,It is a dish made by adding tuna fish sauce to seaweed soup to add umami.,"Kimchi, pork belly, green onion, onion, tofu, anchovy kelp stock, minced garlic, red pepper powder, tuna broth, sugar, skewered fish cake, onion, radish, green onion, anchovy kelp stock, tuna broth, soy sauce, minced garlic, pepper, assorted seafood , shiitake mushroom, tteokbokki rice cake, onion, green onion, sesame oil, sesame, tuna extract, soy sauce, sugar, starch syrup, cooking wine, minced garlic, pepper, water","[Make Kimchi Jjigae] Cut the kimchi into bite-size pieces. Thinly slice the onion, slice the green onion diagonally, and cut the tofu into bite-sized pieces. Roast the pork belly in a pot and cut into bite-size pieces. Add kimchi and sugar and stir-fry. Add the broth and bring to a boil. Add minced garlic, red pepper powder, and onion and cook a little more. Add Beksul tuna liquid to add umami and add green onion. [Skewered fish cake soup] 1. Cut the radish into large pieces and cut the green onion into pieces. 2. Put radish and broth in a pot and bring to a boil. 3. When it boils, add fish cakes and onions. 4. Season with minced garlic, soy sauce and pepper. 5. Add Beksul tuna liquid to add umami and add green onion. [Soy Sauce Tteokbokki] 1. Shred the shiitake mushrooms and onion, and cut the green onion in half and cut into about 5cm lengths. 2. Put the seasoning ingredients in a bowl and mix. 3. Heat oil in a pan and saute the onion and green onion. 4. Add mushrooms, rice cakes, and seafood and stir-fry once more. 5. Pour in the seasoning sauce and mix. 6. Add Beksul tuna liquid to add umami, and sprinkle with sesame oil and sesame seeds."
44,분식,튀김류,쑥튀김,A deep-fried dish of fragrant mugwort deep-fried to a crisp.,"Mugwort, tempura powder, carbonated water, tempura oil, sugar, soy sauce, vinegar, red pepper powder, sesame","After rinsing the mugwort thoroughly, drain the water lightly by sieving it through a sieve. Add 1-2 tablespoons of tempura powder to the mugwort and mix gently Add cold carbonated water to the tempura powder in a 1:1 ratio and mix Add mugwort and fry quickly. If you fry it quickly in a short time, it will be crisper. Sprinkle sugar or dip it in soy sauce according to your taste. Soy sauce recipe. 1tbsp soy sauce, 1tbsp vinegar, 1/3tbsp red pepper powder, a little sesame"
